Telugu,Tamil,Unnamed: 0
"ఏదో తప్పు జరిగింది 
","ஏதோ தவறு நடந்துவிட்டது 
",469.0
"ఒక ప్రశ్న అడగండి మరియు సమాధానాన్ని పొందండి: అవును లేదా ఏ 
","ஒரு கேள்வியை கேளுங்கள் மற்றும் பதில் கிடைக்கும்: ஆம் அல்லது எந்த 
",470.0
"ఇప్పుడు మాకు కాల్: 0577-62756010 
","இப்போது எங்களுக்கு அழைப்பு: 0577-62756010 
",471.0
"మేము మా స్పాన్సర్లు ధన్యవాదాలు అనుకుంటున్నారా! 
","நாங்கள் எங்கள் விளம்பரதாரர்கள் நன்றி பார்க்க விரும்புகிறேன்! 
",472.0
"మీకు ఏవైనా ప్రశ్నలు ఉంటే మాకు తెలియజేయండి. 
","உங்களிடம் ஏதேனும் கேள்விகள் இருந்தால் எங்களுக்குத் தெரியப்படுத்துங்கள். 
",473.0
"ఏప్రిల్ 12, 2016 
","ஏப்ரல் 18, 2016 
",474.0
"మీ ఆలోచనను మార్చుకోండి: 
","உங்கள் எண்ணத்தை மாற்றவும்: 
",475.0
"ఎందుకు మీరు మనిషి తనకు వేచి ఉండాలి? 
","ஏன் மனிதன் தன்னை காத்திருக்க வேண்டும்? 
",476.0
"మేము మీరు ఉత్తమ అందించే సిద్ధంగా ఉన్నారు! 
","நாங்கள் உங்களுக்கு சிறந்த வழங்க தயாராக உள்ளன! 
",477.0
"కానీ రెండు BIG సమస్యలు ఉన్నాయి… 
","ஆனால் இரண்டு பெரிய பிரச்சினைகள் உள்ளன… 
",478.0
"ఈ రోజుకు, రేపు మరియు ఎల్లప్పుడూ 
","இன்றைக்கு, நாளை மற்றும் எப்போதும் 
",479.0
"ఫోన్: + 86-574-87282738 
","தொலைபேசி: + 86-574-87282738 
",480.0
"దాన్ని ఇక్కడ చూడగలరు? 
","அதை இங்கே பார்க்கலாம்? 
",481.0
"ఇక్కడకు రావటం మీకిదే మొదటిసారా? 
","இது உங்களுக்கு முதல் தடவையா? 
",482.0
"మీరు ఈ సంబంధించి ఏ సమస్య లేదా ప్రశ్నను కలిగి ఉంటే 192-168-1-1l.com వెబ్సైట్, then Please feel free to email us at jaypol929@gmail.com 
","நீங்கள் இந்த தொடர்பான எந்த பிரச்சினை அல்லது கேள்வி இருந்தால் 192-168-1-1l.com இணையதளம், then Please feel free to email us at jaypol929@gmail.com 
",483.0
"మీ ఇంటి వద్ద, మీ తలుపు వద్ద. 
","உங்கள் வீட்டில், உங்கள் வீட்டில். 
",484.0
"నేను మార్చడానికి కొన్ని విషయాలు వచ్చింది. 
","நான் மாற்ற வேண்டிய சில விஷயங்கள் கிடைத்தது. 
",485.0
"ఏమి ఇప్పుడు? 
","என்ன இப்போது? 
",486.0
"డెలివరీ సమయం: 1-3 రోజుల 
","Whatsapp பணியாற்ற: +34 686 34 மே 36 
",487.0
"టెల్: 022-29262182 
","தொலைபேசி: 022-29262182 
",488.0
"Eyeopening. ధన్యవాదాలు. 
","Eyeopening. நன்றி. 
",489.0
"12345678910111213141516171819202122232425262728293031 Dec 2019Jan 2020Feb 2020Mar 2020Apr 2020మే 2020Jun 2020Jul 2020Aug 2020సెప్టెంబర్ 2020Oct 2020Nov 2020 
","12345678910111213141516171819202122232425262728293031 ஏப் 2020மே 2020ஜூன் 2020இன்று 2020ஆகஸ்ட் 2020செப்டம்பர் 2020அக் 2020நவ 2020டிசம்பர் 2020ஜனவரி 2021பிப்ரவரி 2021மார்ச் 2021 
",490.0
"ధన్యవాదాలు! 
","நன்றி! 
",491.0
"24 మే, 2011 
","24 மே, 2011 
",492.0
"ఫోన్: + 86-13980949460 
","தொலைபேசி: + 86-13980949460 
",493.0
"- హలో. మేము తెరిచినవి. 
","- வணக்கம். நாங்கள் திறந்தோம். 
",494.0
"ప్రశ్నలు, ఆందోళనలు, మరియు వ్యాఖ్యలు అన్ని స్వాగతం ఉంటాయి. మేము మా రీడర్లకు నుండి విన్న ప్రేమ! 
","கேள்விகள், கவலைகள், மற்றும் கருத்துகள் அனைத்து வெல்கம். நாங்கள் எங்கள் வாசகர்களிடம் இருந்து கேட்டு நேசிக்கிறேன்! 
",495.0
"_ టూర్ కోడ్: 035. 
","_ டூர் குறியீடு: 035. 
",496.0
"8 మే, 2014 
","8 மே, 2014 
",497.0
"అతను నాకు సేవ్ ఒకసారి కంటే. 
","அவர் என்னை சேமித்தவுடன் விட. 
",498.0
"నన్ను గుర్తు పెట్టుకో 
","என்னை ஞாபகம் வைத்து கொள் 
",499.0
"మీరు కేవలం వెళ్ళి వీలు అవసరం 20 విషయాలు 
","நீங்கள் செல்லலாம் வேண்டும் 20 விஷயங்கள் 
",500.0
"మీరు నాకు snicker చూసిన, 
","நீங்கள் என்னை சிரிப்பதற்கு இணையாக பார்த்த, 
",501.0
"26 మే, 2014 
","26 மே, 2014 
",502.0
"మీ భవిష్యత్తులో ఎవరు ఉన్నారు? 
","உங்கள் எதிர்காலத்தில் யார் இருக்கிறார்கள்? 
",503.0
"అన్ని ధన్యవాదాలు మీరు. 
","நன்றி அனைவருக்கும் நீங்கள் செய்ய. 
",504.0
"మమ్మల్ని సంప్రదించండి: [Email protected] 
","எங்களை தொடர்பு கொள்ளவும்: [Email protected] 
",505.0
"ఒక అమ్మాయి నాకు చెప్పినప్పుడు నేను వచ్చానని గ్రహించాను ... 
","ஒரு பெண் என்னிடம் சொன்னபோது நான் வந்திருந்ததை உணர்ந்தேன் ... 
",506.0
"ఇది చాలా విచిత్రమైనది. నిజాయితీగా ఈ కారణం కావచ్చు ఏమి ఖచ్చితంగా తెలియదు ... 
","அது மிகவும் வித்தியாசமானது. நான் இந்த உண்மையை என்ன செய்ய முடியும் நிச்சயமாக இல்லை ... 
",507.0
"నేను ఏ ప్రశ్నలను కలిగి ఉంటే నేను ఎవరిని సంప్రదించాలి? 
","நான் எந்த கேள்விகளுக்கு இருந்தால் நான் யாரிடம் தொடர்பு கொள்ள வேண்டும்? 
",508.0
"మేము మీకు ఇష్టం 
","நாங்கள் உன்னை விரும்புகிறேன் 
",509.0
"ఏప్రిల్ 7, 2016 
","ஏப்ரல் 7, 2016 
",510.0
"17 మే, 2011 
","17 மே, 2011 
",511.0
"ఎందుకు మీరు ఎల్లప్పుడూ నాకు నియంత్రించడానికి ప్రయత్నిస్తున్న? 
","ஏன் என்னை கட்டுப்படுத்த முயற்சி? 
",512.0
"మీరు కూడా ఇష్టపడవచ్చు 
","நீ கூட விரும்பலாம் 
",513.0
"టెల్: + 86-0574-58998798 
","தொலைபேசி: + 86-0574-58998798 
",514.0
"వివాహం లేదు వాగ్దానం 
","திருமணம் செய்து கொள்ள சத்தியத்தை 
",515.0
"(3 ఓట్లు, సరాసరి: 2.3 బయటకు 5) 
","(3 வாக்குகள் சராசரி: 2.3 5 வெளியே) 
",516.0
"ఆమె అది ఇష్టం లేదు? అప్పుడు ఎందుకు ఆమె మౌనంగా ఉంది? 
","அவளுக்கு அது பிடிக்கவில்லை? பிறகு ஏன் அவள் மிகவும் அமைதியாக இருக்கிறது? 
",517.0
"ఫోన్: 0519-86783696 
","தொலைபேசி: 0519-86783696 
",518.0
"- 5 రోజులు మరియు 2 రోజులు. 
","- 5 நாட்கள் மற்றும் 2 நாட்கள் ஆஃப். 
",519.0
"మేము ఏమి చెయ్యగలరు 
","நம்மால் என்ன செய்ய முடியும் 
",520.0
"నేను నిజంగా మీరు నాకు సహాయం చేయగలరు ఒక విషయం కలిగి .... 
","நான் உண்மையில் நீங்கள் எனக்கு உதவ முடியும் ஒரு விஷயம் .... 
",521.0
"మా కొత్త వెబ్సైట్ కు స్వాగతం! 
","எங்கள் புதிய இணையதளம் வரவேற்கிறோம்! 
",522.0
"ఏప్రిల్ 7, 2016 
","ஏப்ரல் 7, 2016 
",523.0
"ఎందుకు ఈ పేరు? 
","ஏன் இந்த பெயர்? 
",524.0
"మీరు నిజంగా ముందుకు తరలించడానికి సిద్ధంగా అనుభూతి 
","நீங்கள் உண்மையிலேயே முன்னோக்கி நகர்த்த தயாராக இருக்கிறேன் 
",525.0
"ఇప్పుడు మాకు కాల్: 0577-62697732 
","இப்போது எங்களுக்கு அழைப்பு: 0577-62697732 
",526.0
"ఫోన్ +8615167159995 
","தொலைபேசி +8615167159995 
",527.0
"“ఈ బంధువులందరూ [యుగం యొక్క అవతారం యొక్క ప్రతినిధులు] కాళి త్యాగాలు [మతపరమైన ఆచారాలు], వేదాల జ్ఞానం మరియు దయను నాశనం చేసేవారు, ఎందుకంటే వారు వేద మతం యొక్క అన్ని సూత్రాలను ఉల్లంఘించారు. అవి మనస్సు, అనారోగ్యం, వృద్ధాప్యం, మత సూత్రాలను నాశనం చేయడం, విచారం, విలపించడం మరియు భయం. కాశీ యొక్క ఈ వారసులు కాశీ రాజ్యంలో తిరుగుతూ ప్రజలందరికీ బాధ కలిగిస్తారు. అలాంటి వ్యక్తులు సమయం యొక్క ప్రభావాలతో మోసపోతారు, వారి స్వభావంలో చాలా చంచలమైనవారు, తీవ్రమైన కోరికలతో నిండి ఉంటారు, అపారమైన పాపాత్మకమైనవారు, గర్వంగా మరియు క్రూరంగా తమ సొంత తండ్రులకు మరియు తల్లులకు కూడా. [అలాగే] రెండుసార్లు జన్మించినవారు [ఆధ్యాత్మికంగా ప్రారంభించినవారు] మంచి ప్రవర్తనను కలిగి ఉండరు, సరైన సూత్రాలను పాటించకుండా మరియు ఎల్లప్పుడూ తక్కువ తరగతుల సేవలో ఉంటారు. ”(నాప్, 2016) 
","""வெற்று வார்த்தைகள் மற்றும் மதங்கள் போன்ற இந்த வீழ்ந்த ஆத்மாக்கள் அவர்களுக்கு வாழ்வாதாரமாக சேவை செய்கின்றன, வேத ஞானத்தின் போதனைகள் அவர்களின் தொழில், அவர்கள் வாக்குறுதிகளை நிறைவேற்றுவதில் இருந்து விழுந்துவிட்டு, மது மற்றும் இறைச்சி உள்ளிட்ட பிற அருவருப்பான பொருட்களை விற்கிறார்கள். அவர்கள் இயற்கையால் கொடூரமானவர்கள் மற்றும் அவர்களின் வயிறு மற்றும் பாலினத்தை திருப்திப்படுத்துவதில் தீவிரமானவர்கள். இந்த காரணத்திற்காக, அவர் பெண்களுக்காக ஏங்குகிறார், எப்போதும் குடிப்பார். ‟(நேப், எக்ஸ்என்யூஎம்எக்ஸ்) 
",528.0
"నేను నిజంగా మీకు ఇష్టం! 
","நான் உன்னை மிகவும் விரும்புகிறேன்! 
",529.0
"మేము ప్రారంభం కావాలి! 
","நாம் தொடங்க வேண்டும்! 
",530.0
"కానీ కొన్ని సాధ్యం శుభవార్త ఉంది. 
","ஆனால் சில சாத்தியமான நல்ல செய்தி உள்ளது. 
",531.0
"మీ స్వంత ఎక్స్పెవెన్టిన్ చేయండి !!! 
","உங்கள் சொந்த EXPEVENTIN ஐ உருவாக்குங்கள் !!! 
",532.0
"బైబిలు ఇలా చెబుతోంది: 
","பைபிள் கூறுகிறது: 
",533.0
"ఫోన్: + 86-20-3781 4693 
","தொலைபேசி: + 86-20-3781 4693 
",534.0
"ఇప్పుడే మేము మళ్ళీ చేశాం! 
","எங்களால் முடிந்தது! 
",535.0
"జూలై 8, 2013 వద్ద 11:40 ఉదయం 
","ஜூலை 8, 2013 இல் 11:40 மீது 
",536.0
"ప్రేక్షకులు: 250.000 
","பார்வையாளர்கள்: 250.000 
",537.0
"ప్రారంభించడానికి సిద్ధమా? 
","தொடங்கத் தயாரா? 
",538.0
"ఫోన్: 0086-15268862026 
","தொலைபேசி: 0086-15268862026 
",539.0
"కానీ, ఆ విధంగా ఉండాలి లేదు. 
","ஆனால், அது வழி இருக்க வேண்டும். 
",540.0
"మీరు మరిన్ని వివరాలను చూడాలనుకుంటున్నారా? 
","நீங்கள் இன்னும் விவரங்களைக் காண விரும்புகிறீர்களா? 
",541.0
"© 2006-2018 సర్వ హక్కులు సి-డాక్ కు రిజర్వు చేయబడినవి. 
","© 2006-2018 சி. டாக். அனைத்து உரிமைகளும்.. 
",542.0
"21 మే, 2015 
","21 மே, 2015 
",543.0
"ఫోన్: + 86-755-23011350 
","தொலைபேசி: + 86-755-23011350 
",544.0
"ఇది ఏమిటి? 
","என்ன அது? 
",545.0
"కాల్ మద్దతు ఫోన్: 0531-88825528 
","கால் ஆதரவு தொலைபேசி: 0531-88825528 
",546.0
"* CAPTCHA: దయచేసి ఎంచుకోండి హౌస్ 
","* அப்பாவி: தயவு செய்து தேர்வு கோப்பை 
",547.0
"మేము ప్రపంచ 1983 నుంచి పొందాయి సహాయం 
","நாம் உலக 1983 இருந்து வளர்ந்து உதவ 
",548.0
"ది మొదటి సమస్య is the ఖర్చు! 
","தி முதல் சிக்கல் is the செலவாகும்! 
",549.0
"ఎవరు మేము ఉంటాయి 
","நாம் யார்? 
",550.0
"ఫోన్: 86-519-86731016 
","தொலைபேசி: 86-519-86731016 
",551.0
"జాగ్రత్తగా ఉండండి! అది తప్పక చదవండి. 
","கவனமாக இருங்கள்! அது படிக்க வேண்டும். 
",552.0
"రోమన్ 1:16 
","ரோமன் 1:16 
",553.0
"అది పని చేసింది,? 
","அது வேலை செய்யவில்லை? 
",554.0
"కాల్ మద్దతు 400-800-3767 
","கால் ஆதரவு 400-800-3767 
",555.0
"మీరు అది జరగలేదు అని చెబుతాను. 
","நீங்கள் அது நடக்காது என்று சொல்லலாம். 
",556.0
"తెలుగు 
","தமிழ் 
",557.0
"ఫోన్: + 86-760-22226407 
","தொலைபேசி: + 86-760-22226407 
",558.0
"ఉద్యోగులు నేర్పండి “ఎందుకు” మరియు కేవలం ఎలా” 
","ஊழியர் கற்பிக்கிறது “ஏன்” மற்றும் மட்டும் எப்படி” 
",559.0
"ఫోన్: + 66 61 686 66 55 
","தொலைபேசி: + 66 90 587 45 75 
",560.0
"టెలిఫోన్: + 86-532-85729998 
","தொலைபேசி: + 86-532-85729998 
",561.0
"ఫోన్: 0086-311-87723278 
","தொலைபேசி: 0086-311-87723278 
",562.0
"మేము మీకు ఎలా సహాయపడతామో చూడండి 
","உங்களுக்கு உதவ முடியும் என்பதைக் காண்க 
",563.0
"ఫ్యాక్స్: (+86) 0755 2785 3910 
","தொலைநகல்: (+86) 0755 2785 3910 
",564.0
"జూన్ 2019 
","ஜூன் 2019 
",565.0
"అంతర్జాతీయ: + 1 (212) 651-1522 
","சர்வதேச: + 1 (212) 651-1522 
",566.0
"ఫోన్: 0086-18017021615 
","தொலைபேசி: 0086-18017021615 
",567.0
"ఫోన్: 0086-21-56440030 
","தொலைபேசி: 0086-21-56440030 
",568.0
"మేము మీ నుండి వినడానికి ఇష్టపడతాము 
","உங்களிடமிருந்து கேட்க நாங்கள் விரும்புகிறோம் 
",569.0
"ఇది ఎలా పని చేస్తుంది? 
","இது எப்படி வேலை செய்கிறது? 
",570.0
"భారత్: 000-800-100-4105 
","இந்தியா: 000-800-100-4105 
",571.0
"మిస్లాండోడ్ 5 PC లు 0.20mm C కర్ల్ ఫ్లాట్ వెంట్రుష్ ఎక్స్టెన్షన్ 
","மிஸ்லாடோட் 5 பிசிக்கள் 0.20mm C கர்ல் ஃப்ளாட் கண்ணிஷ் நீட்டிப்பு 
",572.0
"అవును, నాకు ఇప్పటికే ఉంది. 
","ஆம், எனக்கு ஏற்கனவே உள்ளது. 
",573.0
"ఓపెన్ 24 / 7 
","திறந்தது 24 / 7 
",574.0
"మీరు నాతో ఉన్నారా? 
","நீங்கள் என்னுடன் இருக்கிறீர்களா? 
",575.0
"టికెట్లు: $ 1,500 వద్ద ప్రారంభించండి 
","டிக்கெட்: தொடக்கம் $ 1,500 
",576.0
"మీరు ప్రారంభించడానికి అవసరమైన ప్రతిదీ ... 
","நீங்கள் தொடங்க வேண்டிய அனைத்தும் ... 
",577.0
"1234తర్వాత> >> పేజీ 1/4 
","1234அடுத்து> >> பக்கம் 1/4 
",578.0
"© 2018 అన్ని హక్కులూ ప్రత్యేకించుకోవడమైనది, సర్వస్వామ్య రక్షితం. 
","© 2018 அனைத்து உரிமைகளும் பாதுகாக்கப்பட்டவை. 
",579.0
"ఫోన్: + 86-13509836707 
","தொலைபேசி: + 86-13509836707 
",580.0
"అందరికీ అదృష్టం! 
","அனைவருக்கும் நல்ல அதிர்ஷ்டம்! 
",581.0
"ఇప్పుడు మాకు కాల్: 0086 574 86174058 
","இப்போது எங்களுக்கு அழைப்பு: 0086 574 86174058 
",582.0
"కాపీరైట్ @ GIC హౌసింగ్ ఫైనాన్స్ లిమిటెడ్, 2014. అన్ని హక్కులూ ప్రత్యేకించబడినవి. 
","பதிப்புரிமை @ உள்ளடக்கப்பட்டுள்ளன வீட்டு வசதி நிதி லிமிடெட், 2014. அனைத்து உரிமைகளும் பாதுகாக்கப்பட்டவை . 
",583.0
"ఈ ఖచ్చితంగా నేను కోరుకున్న విధంగా కాదు, కానీ ఇప్పుడు కోసం, అది ఉండాలి. 
","இந்த நிச்சயமாக நான் அதை விரும்பவில்லை வழி அல்ல, ஆனால் இப்போது, அது இருக்க வேண்டும். 
",584.0
"ఫిబ్రవరి 18, 2017 
","5 மே, 2017 
",585.0
"నేను 18 సంవత్సరాల వయస్సు కలిగి ఉన్నానని, 
","எனக்கு 18 வயது, 
",586.0
"చివరి మార్పు చేసినది 21 / 05 / 2018. 
","கடைசி மாற்றம் செய்யப்பட்டது 21 / 05 / 2018. 
",587.0
"ఇప్పుడు మాకు కాల్: + 86-18126537057 
","இப்போது எங்களுக்கு அழைப்பு: + 86-18126537057 
",588.0
"28 మే, 2011 
","28 மே, 2011 
",589.0
"ఇక్కడ టాటూలను శోధించండి !! 
","இங்கே பச்சை குத்தல்கள்! 
",590.0
"మరింత సమాచారం కోసం దయచేసి తనిఖీ చేయండి: 
","மேலும் தகவலுக்கு, தயவுசெய்து சரிபார்க்கவும்: 
",591.0
"పేజీ 1 యొక్క 1212345తదుపరి చివరి 
","பக்கம் 1 என்ற 1212345அடுத்த கடந்த 
",592.0
"ఇప్పుడు మాకు కాల్: +86 0574 65003787 
","இப்போது எங்களுக்கு அழைப்பு: +86 0574 65003787 
",593.0
"నేను ఎంత వేగంగా డబ్బు పొందగలను? 
","நான் எவ்வளவு விரைவாக பணம் பெற முடியும்? 
",594.0
"మనం ఎవరము? 
","நாங்கள் யார் 
",595.0
"ప్రజలు ఏమి కాదు 
","மக்கள் செய்ய முடியாது 
",596.0
"23 మే, 2013 
","23 மே, 2013 
",597.0
"నేను ఎలా మొదలుపెట్టగలను? 
","நான் எப்படி தொடங்குவது? 
",598.0
"మీ ఆసక్తికి ధన్యవాదములు! 
","ஆர்வம் காட்டியதற்கு நன்றி!! 
",599.0
"14 మే, 2013 
","14 மே, 2013 
",600.0
"ఇది రెండు సందర్భాలలో జరగవచ్చు: 
","இது இரண்டு நிகழ்வுகளில் நடக்கும்: 
",601.0
"మిస్లాండోడ్ 3 PC లు 0.20mm C కర్ల్ ఫ్లాట్ వెంట్రుష్ ఎక్స్టెన్షన్ 
","மிஸ்லாடோட் 3 பிசிக்கள் 0.20mm C கர்ல் ஃப்ளாட் கண்ணிஷ் நீட்டிப்பு 
",602.0
"""నేను ఇక్కడ ఎలా వచ్చాం?"" 
","""நான் எப்படி இங்கே வந்தது?"" 
",603.0
"మిస్లాండోడ్ 10 PC లు 0.15mm C కర్ల్ ఫ్లాట్ వెంట్రుష్ ఎక్స్టెన్షన్ 
","மிஸ்லாடோட் 10 பிசிக்கள் 0.15mm C கர்ல் ஃப்ளாட் கண்ணிஷ் நீட்டிப்பு 
",604.0
"మాతో మీరు పని అనుకుంటున్నారా? నేటి Facebook న మాకు సంప్రదించండి! 
","நீங்கள் எங்களுக்கு வேலை செய்ய விரும்புகிறீர்களா? இன்று Facebook இல் எங்களை தொடர்பு! 
",605.0
"12345తర్వాత> >> పేజీ 1/5 
","12345அடுத்து> >> பக்கம் 1/5 
",606.0
"(ముందుగానే 100% చెల్లింపు.) 
","(முன்கூட்டியே 100% கட்டணம்.) 
",607.0
"మీ సమాచారం మాతో 100% సురక్షితం మరియు ఎవరితోనూ భాగస్వామ్యం చేయబడదు. 
","உங்கள் தகவல் எங்களுடன் 100% பாதுகாப்பானது மற்றும் யாருடனும் பகிரப்படாது. 
",608.0
"ఫోన్: 86-574-88868839 
","தொலைபேசி: 86-574-88868839 
",609.0
"కోడ్‌లను ఎక్కడ నమోదు చేయాలి? 
","குறியீடுகளை எங்கு உள்ளிட வேண்டும்? 
",610.0
"మేము ఈ సంవత్సరం ఇస్తున్నది ఏమిటి: 
","நாம் இந்த ஆண்டு வழங்குவது என்ன: 
",611.0
"చదివిన ఇతరుల ఏమిటి? 
","என்ன படித்து மற்ற மக்கள்? 
",612.0
"స్పెసిఫికేషన్ : 5000 * 5000 * 4600 
","விவரக்குறிப்பு : 5000 * 5000 * 4600 
",613.0
"ఫోన్: 0577-61782678 
","தொலைபேசி: 0577-61782678 
",614.0
"ప్రేక్షకులు: 15.000 
","பார்வையாளர்கள்: 15.000 
",615.0
"నేను కొన్ని నమూనాలను పొందవచ్చు? 
","நான் சில மாதிரிகள் பெற முடியுமா? 
",616.0
"Fritt inträde! స్వాగతం! 
","இலவச சேர்க்கை! வரவேற்கிறோம்! 
",617.0
"మిస్లాండోడ్ 3 PC లు 0.07mm C కర్ల్ 5D ప్రీ-ఫిన్డ్ వాల్యూమ్ వెంట్రుష్ 
","Misslamode 3 பிசிக்கள் 0.07mm C கர்ல் 5D முன்-வார்ன்ட் வால்யூம் லீலாஷ் 
",618.0
"ఇది మీరు అనుకోవచ్చు కంటే తక్కువ ఖర్చవుతుంది 
","நீங்கள் நினைக்கலாம் விட குறைவாக செலவாகும் 
",619.0
"మేము ప్రపంచ 2003 నుంచి పెరుగుతున్న సహాయం 
","நாம் உலக 2003 இருந்து வளர்ந்து உதவ 
",620.0
"ఏమి చెబుతున్నారు? 
","நீ என்ன சொல்கிறாய்? 
",621.0
"మిస్లాండోడ్ 5 PC లు 0.07MMXXD ప్రీ-ఫిన్డ్ వాల్యూమ్ వెంట్రుష్ 
","மிஸ்லாடோட் 5 பிசிக்கள் 0.07 மிமீ 5D முன்-வார்ன்ட் வால்யூம் லீலாஷ் 
",622.0
"మరియు మీరు kvass తో ఎల్లప్పుడూ! 
","நீங்கள் கவாஸ் இருக்கிறது! 
",623.0
"ప్రజలు ఏమి చెప్పాలి 
","மக்கள் என்ன சொல்கிறார்கள் 
",624.0
"మీరు ఒక మంచి ఆలోచన ఉందా – పెద్ద మరియు చిన్న? 
","நீங்கள் ஒரு நல்ல யோசனை உங்களிடம் இருக்கிறதா – பெரிய மற்றும் சிறிய? 
",625.0
"ఒక OTP 8005411855కు పంపబడింది. 
","ஒரு OTP 8005411855 க்கு அனுப்பப்பட்டது. 
",626.0
"ఫోన్: 86-574-87839559 
","தொலைபேசி: 86-574-87839559 
",627.0
"మీరు ఏవైనా ప్రశ్నలు ఉంటే నాకు తెలియజేయండి. 
","நீங்கள் ஏதேனும் சந்தேகங்கள் இருந்தால் எனக்கு தெரியப்படுத்துங்கள். 
",628.0
"పండులో +8615966940809 
","ஜேன்: +8615966940809 
",629.0
"ఫ్యాక్స్: 0086-531-85760969 
","தொலைநகல்: 0086-531-85760969 
",630.0
"నేను ఈ వంటి వేదన ఉండాలా, లేదా అది నిజంగా చెడు ఉంది? 
","நான் இந்த மாதிரி புலம்பு வேண்டும், அல்லது அது நன்றாக இருந்தது? 
",631.0
"సంవత్సరము: 1982 
","ஆண்டு: 1982 
",632.0
"మా ఏజెంట్ ఉండాలనుకుంటున్నారా? కమ్, మాకు చేరండి. 
","எங்கள் முகவர் இருக்க வேண்டும்? வா, எங்களுக்கு சேருங்கள். 
",633.0
"కంటే ఎక్కువ 80 ఉద్యోగులు. 
","80 க்கும் மேற்பட்ட ஊழியர்கள். 
",634.0
"మేము ప్రపంచ 1995 నుంచి పొందాయి సహాయం 
","நாம் உலக 1995 இருந்து வளர்ந்து உதவ 
",635.0
"ఫోన్: +8615966768528 
","தொலைபேசி: +8615966768528 
",636.0
"మిస్లాండోడ్ 10 PC లు 0.20mm C కర్ల్ ఫ్లాట్ వెంట్రుష్ ఎక్స్టెన్షన్ 
","மிஸ்லாடோட் 10 பிசிக்கள் 0.20mm C கர்ல் ஃப்ளாட் கண்ணிஷ் நீட்டிப்பு 
",637.0
"21 మే, 2011 
","21 மே, 2011 
",638.0
"మీ రకమైన శ్రద్ధతో కోసం మీరు ధన్యవాదాలు! 
","உங்கள் வகையான கவனத்தை நன்றி! 
",639.0
"ET: మేము శాంతి వస్తున్నారా? 
","ET: நாம் சமாதானமாக வருகிறோமா? 
",640.0
"ప్రేక్షకులు: 50-1000 
","பார்வையாளர்கள்: 50-1000 
",641.0
"టెల్: 0086-523-8970 1885 
","தொலைபேசி: 0086-523-8970 1885 
",642.0
"ధన్యవాదాలు; మంచి పని ఉంచడానికి! 
","நன்றி; நல்ல வேலை வைத்திருக்கவும்! 
",643.0
"మరియు మేము మీరు వంటి స్థానిక ప్రజలపై కౌంట్. 
","நாங்கள் உங்களுக்கு போன்ற உள்ளூர் மக்கள் மீது எண்ண. 
",644.0
"మేము ఏం చేస్తున్నారు? 
","நாம் என்ன செய்து கொண்டிருக்கின்றோம் ? 
",645.0
"బాగా చెప్పారు! ధన్యవాదాలు, సోదరుడు, 
","சரி கூறினார்! நன்றி, சகோதரன், 
",646.0
"ఫోన్: + 86-577-57105857 
","தொலைபேசி: + 86-577-57105857 
",647.0
"టెల్: +86 0512-53538211 
","தொலைபேசி: +86 0512-53538211 
",648.0
"ఉపయోగించడానికి చాలా సులభం 
","பயன்படுத்த மிகவும் எளிதானது 
",649.0
"మిస్లాండోడ్ 10 pcs 0.07mm వాల్యూమ్ వెంట్రుక ఎక్స్టెన్షన్స్ D కర్ల్ 
","மிஸ்லாமாட் 10 பிசிக்கள் 0.07mm தொகுதி கண்ணிழி நீட்டிப்புகள் டி சுருள் 
",650.0
"మేము ప్రపంచ మారుతున్న చేసిన. 
","நாம் உலகத்தை மாற்றவே வருகிறோம். 
",651.0
"మేము ప్రపంచ 1999 నుంచి పొందాయి సహాయం 
","நாம் உலக 1999 இருந்து வளர்ந்து உதவ 
",652.0
"నేను ఏం చేయాలి? 
","நான் என்ன செய்ய வேண்டும்? 
",653.0
"దయచేసి వేచి ఉండండి ... 
","காத்திருக்கவும் ... 
",654.0
"మీరు నా పని ఇష్టం ఉంటే, kindly నాకు మరింత చేయాలని ప్రోత్సహిస్తున్నారు నాకు ఒక విరాళం పంపడానికి. ధన్యవాదాలు! 
","நீங்கள் என் வேலை விரும்பினால், தயவுசெய்து மேலும் செய்ய என்னை ஊக்குவிக்க என்னை ஒரு நன்கொடை அனுப்ப. நன்றி! 
",655.0
"వారిని నవ్వుతూ ఉండటానికి .. 
","அவர்களை சிரிக்க வைக்க .. 
",656.0
"కట్టింగ్ ◆◆◆ ◆◆◆ ◆◆◆◆◆ ◆◆◆◆◆ ◆◆◆ ◆◆ ◆◆◆◆ ◆◆◆◆ ◆◆◆◆◆ ◆◆◆◆◆ 
","கட்டிங் ◆◆◆ ◆◆◆ ◆◆◆◆◆ ◆◆◆◆◆ ◆◆◆ ◆◆ ◆◆◆◆ ◆◆◆◆ ◆◆◆◆◆ ◆◆◆◆◆ 
",657.0
"ఇప్పటికీ పోరాడుతున్నారా? 
","இன்னும் போராடி? 
",658.0
"ముగిసిన 6 సంవత్సరాల క్రితం 
","காலாவதியானது 6 ஆண்டுகளுக்கு முன்பு 
",659.0
"నిన్న నేడు రేపు 
","நேற்று இன்று நாளை 
",660.0
"ఫోన్: + 86-21-64028287 
","தொலைபேசி: + 86-21-64028287 
",661.0
"ధర: $ 25.00 
","விலை: $ 25.00 
",662.0
