Telugu,Tamil,Tamil_tokens,Telugu_tokens
మీ రక్షణ మరియు భద్రతా రక్షించండి,உங்கள் பாதுகாப்பு மற்றும் பாதுகாப்பு பாதுகாக்க,"['உங்கள்', 'பாதுகாப்பு', 'மற்றும்', 'பாதுகாப்பு', 'பாதுகாக்க']","['మీ', 'రక్షణ', 'మరియు', 'భద్రతా', 'రక్షించండి']"
మా ప్రాయోజకులు  భాగస్వాములు,எங்கள் விளம்பரதாரர்கள் மற்றும் பங்குதாரர்கள்,"['எங்கள்', 'விளம்பரதாரர்கள்', 'மற்றும்', 'பங்குதாரர்கள்']","['మా', 'ప్రాయోజకులు', 'భాగస్వాములు']"
నాకు పదాలు పంపండి,எனக்கு வார்த்தைகள் அனுப்பவும்,"['எனக்கு', 'வார்த்தைகள்', 'அனுப்பவும்']","['నాకు', 'పదాలు', 'పంపండి']"
మరింత సమాచారం మాకు సంప్రదించడానికి సంకోచించకండి దయచేసి ధన్యవాదాలు,அதிக தகவல்கள் தொடர்பு கொள்ள தயங்க வேண்டாம் நன்றி,"['அதிக', 'தகவல்கள்', 'தொடர்பு', 'கொள்ள', 'தயங்க', 'வேண்டாம்', 'நன்றி']","['మరింత', 'సమాచారం', 'మాకు', 'సంప్రదించడానికి', 'సంకోచించకండి', 'దయచేసి', 'ధన్యవాదాలు']"
ఫోన్,தொலைபேசி,['தொலைபேசி'],['ఫోన్']
పూర్తిగా,முற்றிலும்,['முற்றிலும்'],['పూర్తిగా']
మొత్తం  సగటు,மொத்தம்  சராசரி,"['மொத்தம்', 'சராசரி']","['మొత్తం', 'సగటు']"
దీనిని ఎవరైనా ఎలా పరిష్కరించాలో తెలుసా,யாராவது இதை எப்படி சரிசெய்வது என்று தெரியுமா,"['யாராவது', 'இதை', 'எப்படி', 'சரிசெய்வது', 'என்று', 'தெரியுமா']","['దీనిని', 'ఎవరైనా', 'ఎలా', 'పరిష్కరించాలో', 'తెలుసా']"
హలో మరియు స్వాగతం,வணக்கம் மற்றும் வரவேற்கிறேன்,"['வணக்கம்', 'மற்றும்', 'வரவேற்கிறேன்']","['హలో', 'మరియు', 'స్వాగతం']"
పూర్తి వివరాలు చూడండి,முழு விவரங்களையும் காண்க,"['முழு', 'விவரங்களையும்', 'காண்க']","['పూర్తి', 'వివరాలు', 'చూడండి']"
ఫోన్,தொலைபேசி,['தொலைபேசி'],['ఫోన్']
ఫోన్,தொலைபேசி,['தொலைபேசி'],['ఫోన్']
నివేదికలు  వారు నాతో ఏమి చెబుతారు,அறிக்கைகள்  அவர்கள் என்ன சொல்கிறார்கள்,"['அறிக்கைகள்', 'அவர்கள்', 'என்ன', 'சொல்கிறார்கள்']","['నివేదికలు', 'వారు', 'నాతో', 'ఏమి', 'చెబుతారు']"
మీరు మా వీడియోలను ఆనందిస్తారని ఆశిస్తున్నాము,எங்கள் வீடியோக்களை நீங்கள் அனுபவிக்க நம்புகிறேன்,"['எங்கள்', 'வீடியோக்களை', 'நீங்கள்', 'அனுபவிக்க', 'நம்புகிறேன்']","['మీరు', 'మా', 'వీడియోలను', 'ఆనందిస్తారని', 'ఆశిస్తున్నాము']"
కాబట్టి దయచేసి వేచి ఉండండి మరియు మీ స్నేహితులకు చెప్పండి,எனவே தயவுசெய்து காத்திருந்து உங்கள் நண்பர்களிடம் சொல்லுங்கள்,"['எனவே', 'தயவுசெய்து', 'காத்திருந்து', 'உங்கள்', 'நண்பர்களிடம்', 'சொல்லுங்கள்']","['కాబట్టి', 'దయచేసి', 'వేచి', 'ఉండండి', 'మరియు', 'మీ', 'స్నేహితులకు', 'చెప్పండి']"
ధన్యవాదాలు మీ సమయం కోసం,நன்றி உங்கள் முறையாக,"['நன்றி', 'உங்கள்', 'முறையாக']","['ధన్యవాదాలు', 'మీ', 'సమయం', 'కోసం']"
టెల్,தொலைபேசி,['தொலைபேசி'],['టెల్']
అది ఎలా పని చేస్తుంది,எப்படி இது செயல்படுகிறது,"['எப்படி', 'இது', 'செயல்படுகிறது']","['అది', 'ఎలా', 'పని', 'చేస్తుంది']"
కాల్ మద్దతు,கால் ஆதரவு,"['கால்', 'ஆதரவு']","['కాల్', 'మద్దతు']"
అతను అది చాలా సంవత్సరాలు క్రితం కాబట్టి,அவர் பல ஆண்டுகளுக்கு முன்பு இருந்ததை அதனால்,"['அவர்', 'பல', 'ஆண்டுகளுக்கு', 'முன்பு', 'இருந்ததை', 'அதனால்']","['అతను', 'అది', 'చాలా', 'సంవత్సరాలు', 'క్రితం', 'కాబట్టి']"
బరువు,எடை,['எடை'],['బరువు']
తర్వాత  పేజీ,அடுத்து  பக்கம்,"['அடுத்து', 'பக்கம்']","['తర్వాత', 'పేజీ']"
నేను అక్కడ ఉన్నాను మీరు అద్భుతంగా ఉన్నాయి,நான் அங்கு இருந்தேன் நீங்கள் அற்புதமான இருந்தன,"['நான்', 'அங்கு', 'இருந்தேன்', 'நீங்கள்', 'அற்புதமான', 'இருந்தன']","['నేను', 'అక్కడ', 'ఉన్నాను', 'మీరు', 'అద్భుతంగా', 'ఉన్నాయి']"
నేను ఒక దేవుడు చంపాను,நான் ஒரு கடவுளை கொன்றேன்,"['நான்', 'ஒரு', 'கடவுளை', 'கொன்றேன்']","['నేను', 'ఒక', 'దేవుడు', 'చంపాను']"
ఏం సమస్య కావచ్చు,என்ன பிரச்சினை இருக்க முடியும்,"['என்ன', 'பிரச்சினை', 'இருக்க', 'முடியும்']","['ఏం', 'సమస్య', 'కావచ్చు']"
ప్రజలు ఏమంటున్నారు చూడండి,மக்கள் என்ன சொல்கிறார்கள் என்று பார்க்கவும்,"['மக்கள்', 'என்ன', 'சொல்கிறார்கள்', 'என்று', 'பார்க்கவும்']","['ప్రజలు', 'ఏమంటున్నారు', 'చూడండి']"
ఫోన్,தொலைபேசி,['தொலைபேசி'],['ఫోన్']
మే,மே,['மே'],['మే']
కాల్ మద్దతు,கால் ஆதரவு,"['கால்', 'ஆதரவு']","['కాల్', 'మద్దతు']"
ధన్యవాదాలు మేము మీ సమయం అభినందిస్తున్నాము,நன்றி உங்கள் நேரத்தை நாங்கள் பாராட்டுகிறோம்,"['நன்றி', 'உங்கள்', 'நேரத்தை', 'நாங்கள்', 'பாராட்டுகிறோம்']","['ధన్యవాదాలు', 'మేము', 'మీ', 'సమయం', 'అభినందిస్తున్నాము']"
మిస్లేలొడ్   ప్రీఫెకెన్డ్ వాల్యూమ్ వెంటెష్ సి కరల్ న్యూ ప్యాకేజీ,மிஸ்லாமாட்  மிமீ  முன்வார்ம்யூம் கண்ணி சி சுருக்கம் புதிய தொகுப்பு  பிசிக்கள்,"['மிஸ்லாமாட்', 'மிமீ', 'முன்வார்ம்யூம்', 'கண்ணி', 'சி', 'சுருக்கம்', 'புதிய', 'தொகுப்பு', 'பிசிக்கள்']","['మిస్లేలొడ్', 'ప్రీఫెకెన్డ్', 'వాల్యూమ్', 'వెంటెష్', 'సి', 'కరల్', 'న్యూ', 'ప్యాకేజీ']"
ఫోన్,தொலைபேசி,['தொலைபேசி'],['ఫోన్']
ఒక ప్రశ్న అడగండి,கேள்வி கேள்,"['கேள்வி', 'கேள்']","['ఒక', 'ప్రశ్న', 'అడగండి']"
కాల్ మద్దతు,கால் ஆதரவு,"['கால்', 'ஆதரவு']","['కాల్', 'మద్దతు']"
మేము మీ కోసం కొందరిని ఎంపిక చేసుకున్నాము,உங்களுக்காக சிலவற்றை எடுத்தோம்,"['உங்களுக்காக', 'சிலவற்றை', 'எடுத்தோம்']","['మేము', 'మీ', 'కోసం', 'కొందరిని', 'ఎంపిక', 'చేసుకున్నాము']"
ఫోన్,தொலைபேசி,['தொலைபேசி'],['ఫోన్']
మాకు సంప్రదించండి స్వాగతం మేము మీకు సహాయం మా ఉత్తమ చేస్తాను,எங்களை அணுகவும் வரவேற்கிறோம் நாங்கள் உங்களுக்கு உதவ எங்கள் சிறந்த செய்வேன்,"['எங்களை', 'அணுகவும்', 'வரவேற்கிறோம்', 'நாங்கள்', 'உங்களுக்கு', 'உதவ', 'எங்கள்', 'சிறந்த', 'செய்வேன்']","['మాకు', 'సంప్రదించండి', 'స్వాగతం', 'మేము', 'మీకు', 'సహాయం', 'మా', 'ఉత్తమ', 'చేస్తాను']"
నేను ఈ ఒక అమ్మాయి మీరు తో అలా,நான் இந்த ஒரு பெண் மீது நீங்கள் மிகவும் இருக்கிறேன்,"['நான்', 'இந்த', 'ஒரு', 'பெண்', 'மீது', 'நீங்கள்', 'மிகவும்', 'இருக்கிறேன்']","['నేను', 'ఈ', 'ఒక', 'అమ్మాయి', 'మీరు', 'తో', 'అలా']"
ఫ్యాక్స్,தொலைநகல்,['தொலைநகல்'],['ఫ్యాక్స్']
వీక్షకులు,பார்வையாளர்கள்,['பார்வையாளர்கள்'],['వీక్షకులు']
మీరు ఏవైనా ప్రశ్నలు లేదా ఏ సలహాలను కలిగి ఉంటే టాబ్ సహాయం ఉపయోగించండి,நீங்கள் ஏதேனும் கேள்விகள் அல்லது எந்த ஆலோசனைகள் இருந்தால் தாவல் உதவி பயன்படுத்த,"['நீங்கள்', 'ஏதேனும்', 'கேள்விகள்', 'அல்லது', 'எந்த', 'ஆலோசனைகள்', 'இருந்தால்', 'தாவல்', 'உதவி', 'பயன்படுத்த']","['మీరు', 'ఏవైనా', 'ప్రశ్నలు', 'లేదా', 'ఏ', 'సలహాలను', 'కలిగి', 'ఉంటే', 'టాబ్', 'సహాయం', 'ఉపయోగించండి']"
మే,மே,['மே'],['మే']
పాల్ చెప్పే వినండి,பால் சொல்வதைக் கேளுங்கள்,"['பால்', 'சொல்வதைக்', 'கேளுங்கள்']","['పాల్', 'చెప్పే', 'వినండి']"
మీరు కూడా ఇష్టం ఉండవచ్చు,நீ கூட விரும்பலாம்,"['நீ', 'கூட', 'விரும்பலாம்']","['మీరు', 'కూడా', 'ఇష్టం', 'ఉండవచ్చు']"
మే,மே,['மே'],['మే']
ఫోన్,தொலைபேசி,['தொலைபேசி'],['ఫోన్']
మేము ఎందుకు ఉత్తమంగా ఉన్నాము,நாங்கள் ஏன் சிறந்தவர்கள்,"['நாங்கள்', 'ஏன்', 'சிறந்தவர்கள்']","['మేము', 'ఎందుకు', 'ఉత్తమంగా', 'ఉన్నాము']"
ప్రారంభ సేవ   మరియు,ஆரம்ப சேவை   மற்றும்,"['ஆரம்ப', 'சேவை', 'மற்றும்']","['ప్రారంభ', 'సేవ', 'మరియు']"
ఎవరు మేము ఉంటాయి,நாம் யார்,"['நாம்', 'யார்']","['ఎవరు', 'మేము', 'ఉంటాయి']"
ఎలా మీరు వర్తిస్తాయి,நீங்கள் எவ்வாறு விண்ணப்பிக்க வேண்டும்,"['நீங்கள்', 'எவ்வாறு', 'விண்ணப்பிக்க', 'வேண்டும்']","['ఎలా', 'మీరు', 'వర్తిస్తాయి']"
అది పని ఎంత సమయం పడుతుంది ఇది రోజులు పడుతుంది,எவ்வளவு நேரம் வேலை செய்ய நேரம் ஆகும் அது நாட்கள் ஆகும்,"['எவ்வளவு', 'நேரம்', 'வேலை', 'செய்ய', 'நேரம்', 'ஆகும்', 'அது', 'நாட்கள்', 'ஆகும்']","['అది', 'పని', 'ఎంత', 'సమయం', 'పడుతుంది', 'ఇది', 'రోజులు', 'పడుతుంది']"
ఏదో తప్పు జరిగింది,ஏதோ தவறு நடந்துவிட்டது,"['ஏதோ', 'தவறு', 'நடந்துவிட்டது']","['ఏదో', 'తప్పు', 'జరిగింది']"
ఒక ప్రశ్న అడగండి మరియు సమాధానాన్ని పొందండి అవును లేదా ఏ,ஒரு கேள்வியை கேளுங்கள் மற்றும் பதில் கிடைக்கும் ஆம் அல்லது எந்த,"['ஒரு', 'கேள்வியை', 'கேளுங்கள்', 'மற்றும்', 'பதில்', 'கிடைக்கும்', 'ஆம்', 'அல்லது', 'எந்த']","['ఒక', 'ప్రశ్న', 'అడగండి', 'మరియు', 'సమాధానాన్ని', 'పొందండి', 'అవును', 'లేదా', 'ఏ']"
ఇప్పుడు మాకు కాల్,இப்போது எங்களுக்கு அழைப்பு,"['இப்போது', 'எங்களுக்கு', 'அழைப்பு']","['ఇప్పుడు', 'మాకు', 'కాల్']"
మేము మా స్పాన్సర్లు ధన్యవాదాలు అనుకుంటున్నారా,நாங்கள் எங்கள் விளம்பரதாரர்கள் நன்றி பார்க்க விரும்புகிறேன்,"['நாங்கள்', 'எங்கள்', 'விளம்பரதாரர்கள்', 'நன்றி', 'பார்க்க', 'விரும்புகிறேன்']","['మేము', 'మా', 'స్పాన్సర్లు', 'ధన్యవాదాలు', 'అనుకుంటున్నారా']"
మీకు ఏవైనా ప్రశ్నలు ఉంటే మాకు తెలియజేయండి,உங்களிடம் ஏதேனும் கேள்விகள் இருந்தால் எங்களுக்குத் தெரியப்படுத்துங்கள்,"['உங்களிடம்', 'ஏதேனும்', 'கேள்விகள்', 'இருந்தால்', 'எங்களுக்குத்', 'தெரியப்படுத்துங்கள்']","['మీకు', 'ఏవైనా', 'ప్రశ్నలు', 'ఉంటే', 'మాకు', 'తెలియజేయండి']"
ఏప్రిల్,ஏப்ரல்,['ஏப்ரல்'],['ఏప్రిల్']
మీ ఆలోచనను మార్చుకోండి,உங்கள் எண்ணத்தை மாற்றவும்,"['உங்கள்', 'எண்ணத்தை', 'மாற்றவும்']","['మీ', 'ఆలోచనను', 'మార్చుకోండి']"
ఎందుకు మీరు మనిషి తనకు వేచి ఉండాలి,ஏன் மனிதன் தன்னை காத்திருக்க வேண்டும்,"['ஏன்', 'மனிதன்', 'தன்னை', 'காத்திருக்க', 'வேண்டும்']","['ఎందుకు', 'మీరు', 'మనిషి', 'తనకు', 'వేచి', 'ఉండాలి']"
మేము మీరు ఉత్తమ అందించే సిద్ధంగా ఉన్నారు,நாங்கள் உங்களுக்கு சிறந்த வழங்க தயாராக உள்ளன,"['நாங்கள்', 'உங்களுக்கு', 'சிறந்த', 'வழங்க', 'தயாராக', 'உள்ளன']","['మేము', 'మీరు', 'ఉత్తమ', 'అందించే', 'సిద్ధంగా', 'ఉన్నారు']"
కానీ రెండు  సమస్యలు ఉన్నాయి…,ஆனால் இரண்டு பெரிய பிரச்சினைகள் உள்ளன…,"['ஆனால்', 'இரண்டு', 'பெரிய', 'பிரச்சினைகள்', 'உள்ளன…']","['కానీ', 'రెండు', 'సమస్యలు', 'ఉన్నాయి…']"
ఈ రోజుకు రేపు మరియు ఎల్లప్పుడూ,இன்றைக்கு நாளை மற்றும் எப்போதும்,"['இன்றைக்கு', 'நாளை', 'மற்றும்', 'எப்போதும்']","['ఈ', 'రోజుకు', 'రేపు', 'మరియు', 'ఎల్లప్పుడూ']"
ఫోన్,தொலைபேசி,['தொலைபேசி'],['ఫోన్']
దాన్ని ఇక్కడ చూడగలరు,அதை இங்கே பார்க்கலாம்,"['அதை', 'இங்கே', 'பார்க்கலாம்']","['దాన్ని', 'ఇక్కడ', 'చూడగలరు']"
ఇక్కడకు రావటం మీకిదే మొదటిసారా,இது உங்களுக்கு முதல் தடவையா,"['இது', 'உங்களுக்கு', 'முதல்', 'தடவையா']","['ఇక్కడకు', 'రావటం', 'మీకిదే', 'మొదటిసారా']"
మీరు ఈ సంబంధించి ఏ సమస్య లేదా ప్రశ్నను కలిగి ఉంటే  వెబ్సైట్,நீங்கள் இந்த தொடர்பான எந்த பிரச்சினை அல்லது கேள்வி இருந்தால்  இணையதளம்,"['நீங்கள்', 'இந்த', 'தொடர்பான', 'எந்த', 'பிரச்சினை', 'அல்லது', 'கேள்வி', 'இருந்தால்', 'இணையதளம்']","['మీరు', 'ఈ', 'సంబంధించి', 'ఏ', 'సమస్య', 'లేదా', 'ప్రశ్నను', 'కలిగి', 'ఉంటే', 'వెబ్సైట్']"
మీ ఇంటి వద్ద మీ తలుపు వద్ద,உங்கள் வீட்டில் உங்கள் வீட்டில்,"['உங்கள்', 'வீட்டில்', 'உங்கள்', 'வீட்டில்']","['మీ', 'ఇంటి', 'వద్ద', 'మీ', 'తలుపు', 'వద్ద']"
నేను మార్చడానికి కొన్ని విషయాలు వచ్చింది,நான் மாற்ற வேண்டிய சில விஷயங்கள் கிடைத்தது,"['நான்', 'மாற்ற', 'வேண்டிய', 'சில', 'விஷயங்கள்', 'கிடைத்தது']","['నేను', 'మార్చడానికి', 'కొన్ని', 'విషయాలు', 'వచ్చింది']"
ఏమి ఇప్పుడు,என்ன இப்போது,"['என்ன', 'இப்போது']","['ఏమి', 'ఇప్పుడు']"
డెలివరీ సమయం  రోజుల,பணியாற்ற    மே,"['பணியாற்ற', 'மே']","['డెలివరీ', 'సమయం', 'రోజుల']"
టెల్,தொலைபேசி,['தொலைபேசி'],['టెల్']
ధన్యవాదాలు,நன்றி,['நன்றி'],['ధన్యవాదాలు']
మే    సెప్టెంబర్,ஏப் மே ஜூன் இன்று ஆகஸ்ட் செப்டம்பர் அக் நவ டிசம்பர் ஜனவரி பிப்ரவரி மார்ச்,"['ஏப்', 'மே', 'ஜூன்', 'இன்று', 'ஆகஸ்ட்', 'செப்டம்பர்', 'அக்', 'நவ', 'டிசம்பர்', 'ஜனவரி', 'பிப்ரவரி', 'மார்ச்']","['మే', 'సెప్టెంబర్']"
ధన్యవాదాలు,நன்றி,['நன்றி'],['ధన్యవాదాలు']
మే,மே,['மே'],['మే']
ఫోన్,தொலைபேசி,['தொலைபேசி'],['ఫోన్']
హలో మేము తెరిచినవి,வணக்கம் நாங்கள் திறந்தோம்,"['வணக்கம்', 'நாங்கள்', 'திறந்தோம்']","['హలో', 'మేము', 'తెరిచినవి']"
ప్రశ్నలు ఆందోళనలు మరియు వ్యాఖ్యలు అన్ని స్వాగతం ఉంటాయి మేము మా రీడర్లకు నుండి విన్న ప్రేమ,கேள்விகள் கவலைகள் மற்றும் கருத்துகள் அனைத்து வெல்கம் நாங்கள் எங்கள் வாசகர்களிடம் இருந்து கேட்டு நேசிக்கிறேன்,"['கேள்விகள்', 'கவலைகள்', 'மற்றும்', 'கருத்துகள்', 'அனைத்து', 'வெல்கம்', 'நாங்கள்', 'எங்கள்', 'வாசகர்களிடம்', 'இருந்து', 'கேட்டு', 'நேசிக்கிறேன்']","['ప్రశ్నలు', 'ఆందోళనలు', 'మరియు', 'వ్యాఖ్యలు', 'అన్ని', 'స్వాగతం', 'ఉంటాయి', 'మేము', 'మా', 'రీడర్లకు', 'నుండి', 'విన్న', 'ప్రేమ']"
టూర్ కోడ్,டூர் குறியீடு,"['டூர்', 'குறியீடு']","['టూర్', 'కోడ్']"
మే,மே,['மே'],['మే']
అతను నాకు సేవ్ ఒకసారి కంటే,அவர் என்னை சேமித்தவுடன் விட,"['அவர்', 'என்னை', 'சேமித்தவுடன்', 'விட']","['అతను', 'నాకు', 'సేవ్', 'ఒకసారి', 'కంటే']"
నన్ను గుర్తు పెట్టుకో,என்னை ஞாபகம் வைத்து கொள்,"['என்னை', 'ஞாபகம்', 'வைத்து', 'கொள்']","['నన్ను', 'గుర్తు', 'పెట్టుకో']"
మీరు కేవలం వెళ్ళి వీలు అవసరం  విషయాలు,நீங்கள் செல்லலாம் வேண்டும்  விஷயங்கள்,"['நீங்கள்', 'செல்லலாம்', 'வேண்டும்', 'விஷயங்கள்']","['మీరు', 'కేవలం', 'వెళ్ళి', 'వీలు', 'అవసరం', 'విషయాలు']"
మీరు నాకు  చూసిన,நீங்கள் என்னை சிரிப்பதற்கு இணையாக பார்த்த,"['நீங்கள்', 'என்னை', 'சிரிப்பதற்கு', 'இணையாக', 'பார்த்த']","['మీరు', 'నాకు', 'చూసిన']"
మే,மே,['மே'],['మే']
మీ భవిష్యత్తులో ఎవరు ఉన్నారు,உங்கள் எதிர்காலத்தில் யார் இருக்கிறார்கள்,"['உங்கள்', 'எதிர்காலத்தில்', 'யார்', 'இருக்கிறார்கள்']","['మీ', 'భవిష్యత్తులో', 'ఎవరు', 'ఉన్నారు']"
అన్ని ధన్యవాదాలు మీరు,நன்றி அனைவருக்கும் நீங்கள் செய்ய,"['நன்றி', 'அனைவருக்கும்', 'நீங்கள்', 'செய்ய']","['అన్ని', 'ధన్యవాదాలు', 'మీరు']"
మమ్మల్ని సంప్రదించండి,எங்களை தொடர்பு கொள்ளவும்,"['எங்களை', 'தொடர்பு', 'கொள்ளவும்']","['మమ్మల్ని', 'సంప్రదించండి']"
ఒక అమ్మాయి నాకు చెప్పినప్పుడు నేను వచ్చానని గ్రహించాను,ஒரு பெண் என்னிடம் சொன்னபோது நான் வந்திருந்ததை உணர்ந்தேன்,"['ஒரு', 'பெண்', 'என்னிடம்', 'சொன்னபோது', 'நான்', 'வந்திருந்ததை', 'உணர்ந்தேன்']","['ఒక', 'అమ్మాయి', 'నాకు', 'చెప్పినప్పుడు', 'నేను', 'వచ్చానని', 'గ్రహించాను']"
ఇది చాలా విచిత్రమైనది నిజాయితీగా ఈ కారణం కావచ్చు ఏమి ఖచ్చితంగా తెలియదు,அது மிகவும் வித்தியாசமானது நான் இந்த உண்மையை என்ன செய்ய முடியும் நிச்சயமாக இல்லை,"['அது', 'மிகவும்', 'வித்தியாசமானது', 'நான்', 'இந்த', 'உண்மையை', 'என்ன', 'செய்ய', 'முடியும்', 'நிச்சயமாக', 'இல்லை']","['ఇది', 'చాలా', 'విచిత్రమైనది', 'నిజాయితీగా', 'ఈ', 'కారణం', 'కావచ్చు', 'ఏమి', 'ఖచ్చితంగా', 'తెలియదు']"
నేను ఏ ప్రశ్నలను కలిగి ఉంటే నేను ఎవరిని సంప్రదించాలి,நான் எந்த கேள்விகளுக்கு இருந்தால் நான் யாரிடம் தொடர்பு கொள்ள வேண்டும்,"['நான்', 'எந்த', 'கேள்விகளுக்கு', 'இருந்தால்', 'நான்', 'யாரிடம்', 'தொடர்பு', 'கொள்ள', 'வேண்டும்']","['నేను', 'ఏ', 'ప్రశ్నలను', 'కలిగి', 'ఉంటే', 'నేను', 'ఎవరిని', 'సంప్రదించాలి']"
మేము మీకు ఇష్టం,நாங்கள் உன்னை விரும்புகிறேன்,"['நாங்கள்', 'உன்னை', 'விரும்புகிறேன்']","['మేము', 'మీకు', 'ఇష్టం']"
ఏప్రిల్,ஏப்ரல்,['ஏப்ரல்'],['ఏప్రిల్']
మే,மே,['மே'],['మే']
ఎందుకు మీరు ఎల్లప్పుడూ నాకు నియంత్రించడానికి ప్రయత్నిస్తున్న,ஏன் என்னை கட்டுப்படுத்த முயற்சி,"['ஏன்', 'என்னை', 'கட்டுப்படுத்த', 'முயற்சி']","['ఎందుకు', 'మీరు', 'ఎల్లప్పుడూ', 'నాకు', 'నియంత్రించడానికి', 'ప్రయత్నిస్తున్న']"
మీరు కూడా ఇష్టపడవచ్చు,நீ கூட விரும்பலாம்,"['நீ', 'கூட', 'விரும்பலாம்']","['మీరు', 'కూడా', 'ఇష్టపడవచ్చు']"
టెల్,தொலைபேசி,['தொலைபேசி'],['టెల్']
వివాహం లేదు వాగ్దానం,திருமணம் செய்து கொள்ள சத்தியத்தை,"['திருமணம்', 'செய்து', 'கொள்ள', 'சத்தியத்தை']","['వివాహం', 'లేదు', 'వాగ్దానం']"
ఓట్లు సరాసరి  బయటకు,வாக்குகள் சராசரி   வெளியே,"['வாக்குகள்', 'சராசரி', 'வெளியே']","['ఓట్లు', 'సరాసరి', 'బయటకు']"
ఆమె అది ఇష్టం లేదు అప్పుడు ఎందుకు ఆమె మౌనంగా ఉంది,அவளுக்கு அது பிடிக்கவில்லை பிறகு ஏன் அவள் மிகவும் அமைதியாக இருக்கிறது,"['அவளுக்கு', 'அது', 'பிடிக்கவில்லை', 'பிறகு', 'ஏன்', 'அவள்', 'மிகவும்', 'அமைதியாக', 'இருக்கிறது']","['ఆమె', 'అది', 'ఇష్టం', 'లేదు', 'అప్పుడు', 'ఎందుకు', 'ఆమె', 'మౌనంగా', 'ఉంది']"
ఫోన్,தொலைபேசி,['தொலைபேசி'],['ఫోన్']
రోజులు మరియు  రోజులు,நாட்கள் மற்றும்  நாட்கள் ஆஃப்,"['நாட்கள்', 'மற்றும்', 'நாட்கள்', 'ஆஃப்']","['రోజులు', 'మరియు', 'రోజులు']"
మేము ఏమి చెయ్యగలరు,நம்மால் என்ன செய்ய முடியும்,"['நம்மால்', 'என்ன', 'செய்ய', 'முடியும்']","['మేము', 'ఏమి', 'చెయ్యగలరు']"
నేను నిజంగా మీరు నాకు సహాయం చేయగలరు ఒక విషయం కలిగి,நான் உண்மையில் நீங்கள் எனக்கு உதவ முடியும் ஒரு விஷயம்,"['நான்', 'உண்மையில்', 'நீங்கள்', 'எனக்கு', 'உதவ', 'முடியும்', 'ஒரு', 'விஷயம்']","['నేను', 'నిజంగా', 'మీరు', 'నాకు', 'సహాయం', 'చేయగలరు', 'ఒక', 'విషయం', 'కలిగి']"
మా కొత్త వెబ్సైట్ కు స్వాగతం,எங்கள் புதிய இணையதளம் வரவேற்கிறோம்,"['எங்கள்', 'புதிய', 'இணையதளம்', 'வரவேற்கிறோம்']","['మా', 'కొత్త', 'వెబ్సైట్', 'కు', 'స్వాగతం']"
ఏప్రిల్,ஏப்ரல்,['ஏப்ரல்'],['ఏప్రిల్']
ఎందుకు ఈ పేరు,ஏன் இந்த பெயர்,"['ஏன்', 'இந்த', 'பெயர்']","['ఎందుకు', 'ఈ', 'పేరు']"
మీరు నిజంగా ముందుకు తరలించడానికి సిద్ధంగా అనుభూతి,நீங்கள் உண்மையிலேயே முன்னோக்கி நகர்த்த தயாராக இருக்கிறேன்,"['நீங்கள்', 'உண்மையிலேயே', 'முன்னோக்கி', 'நகர்த்த', 'தயாராக', 'இருக்கிறேன்']","['మీరు', 'నిజంగా', 'ముందుకు', 'తరలించడానికి', 'సిద్ధంగా', 'అనుభూతి']"
ఇప్పుడు మాకు కాల్,இப்போது எங்களுக்கு அழைப்பு,"['இப்போது', 'எங்களுக்கு', 'அழைப்பு']","['ఇప్పుడు', 'మాకు', 'కాల్']"
ఫోన్,தொலைபேசி,['தொலைபேசி'],['ఫోన్']
