Tamil Tokens,Telugu Tokens,Tamil Bigrams,Telugu Bigrams,Telugu POS Tags,Telugu NER,Tamil Token Frequency,Telugu Token Frequency,Cosine Similarity
"['நான்', 'உன்னை', 'மிகவும்', 'விரும்புகிறேன்']","['నేను', 'నిజంగా', 'మీకు', 'ఇష్టం']","{('நான்', 'உன்னை'): 0.3333333333333333, ('உன்னை', 'மிகவும்'): 0.3333333333333333, ('மிகவும்', 'விரும்புகிறேன்'): 0.3333333333333333}","{('నేను', 'నిజంగా'): 0.3333333333333333, ('నిజంగా', 'మీకు'): 0.3333333333333333, ('మీకు', 'ఇష్టం'): 0.3333333333333333}","[('నేను', 'OTHER'), ('నిజంగా', 'OTHER'), ('మీకు', 'OTHER'), ('ఇష్టం', 'OTHER')]","[('నేను', 'O'), ('నిజంగా', 'O'), ('మీకు', 'O'), ('ఇష్టం', 'O')]","{'நான்': 1, 'உன்னை': 1, 'மிகவும்': 1, 'விரும்புகிறேன்': 1}","{'నేను': 1, 'నిజంగా': 1, 'మీకు': 1, 'ఇష్టం': 1}",0.0
"['நாம்', 'தொடங்க', 'வேண்டும்']","['మేము', 'ప్రారంభం', 'కావాలి']","{('நாம்', 'தொடங்க'): 0.5, ('தொடங்க', 'வேண்டும்'): 0.5}","{('మేము', 'ప్రారంభం'): 0.5, ('ప్రారంభం', 'కావాలి'): 0.5}","[('మేము', 'NOUN'), ('ప్రారంభం', 'OTHER'), ('కావాలి', 'OTHER')]","[('మేము', 'O'), ('ప్రారంభం', 'O'), ('కావాలి', 'O')]","{'நாம்': 1, 'தொடங்க': 1, 'வேண்டும்': 1}","{'మేము': 1, 'ప్రారంభం': 1, 'కావాలి': 1}",0.0
"['ஆனால்', 'சில', 'சாத்தியமான', 'நல்ல', 'செய்தி', 'உள்ளது']","['కానీ', 'కొన్ని', 'సాధ్యం', 'శుభవార్త', 'ఉంది']","{('ஆனால்', 'சில'): 0.2, ('சில', 'சாத்தியமான'): 0.2, ('சாத்தியமான', 'நல்ல'): 0.2, ('நல்ல', 'செய்தி'): 0.2, ('செய்தி', 'உள்ளது'): 0.2}","{('కానీ', 'కొన్ని'): 0.25, ('కొన్ని', 'సాధ్యం'): 0.25, ('సాధ్యం', 'శుభవార్త'): 0.25, ('శుభవార్త', 'ఉంది'): 0.25}","[('కానీ', 'OTHER'), ('కొన్ని', 'OTHER'), ('సాధ్యం', 'OTHER'), ('శుభవార్త', 'OTHER'), ('ఉంది', 'OTHER')]","[('కానీ', 'O'), ('కొన్ని', 'O'), ('సాధ్యం', 'O'), ('శుభవార్త', 'O'), ('ఉంది', 'O')]","{'ஆனால்': 1, 'சில': 1, 'சாத்தியமான': 1, 'நல்ல': 1, 'செய்தி': 1, 'உள்ளது': 1}","{'కానీ': 1, 'కొన్ని': 1, 'సాధ్యం': 1, 'శుభవార్త': 1, 'ఉంది': 1}",0.0
"['உங்கள்', 'சொந்த', 'ஐ', 'உருவாக்குங்கள்']","['మీ', 'స్వంత', 'ఎక్స్పెవెన్టిన్', 'చేయండి']","{('உங்கள்', 'சொந்த'): 0.3333333333333333, ('சொந்த', 'ஐ'): 0.3333333333333333, ('ஐ', 'உருவாக்குங்கள்'): 0.3333333333333333}","{('మీ', 'స్వంత'): 0.3333333333333333, ('స్వంత', 'ఎక్స్పెవెన్టిన్'): 0.3333333333333333, ('ఎక్స్పెవెన్టిన్', 'చేయండి'): 0.3333333333333333}","[('మీ', 'OTHER'), ('స్వంత', 'OTHER'), ('ఎక్స్పెవెన్టిన్', 'OTHER'), ('చేయండి', 'OTHER')]","[('మీ', 'O'), ('స్వంత', 'O'), ('ఎక్స్పెవెన్టిన్', 'O'), ('చేయండి', 'O')]","{'உங்கள்': 1, 'சொந்த': 1, 'ஐ': 1, 'உருவாக்குங்கள்': 1}","{'మీ': 1, 'స్వంత': 1, 'ఎక్స్పెవెన్టిన్': 1, 'చేయండి': 1}",0.0
"['பைபிள்', 'கூறுகிறது']","['బైబిలు', 'ఇలా', 'చెబుతోంది']","{('பைபிள்', 'கூறுகிறது'): 1.0}","{('బైబిలు', 'ఇలా'): 0.5, ('ఇలా', 'చెబుతోంది'): 0.5}","[('బైబిలు', 'OTHER'), ('ఇలా', 'OTHER'), ('చెబుతోంది', 'OTHER')]","[('బైబిలు', 'O'), ('ఇలా', 'O'), ('చెబుతోంది', 'O')]","{'பைபிள்': 1, 'கூறுகிறது': 1}","{'బైబిలు': 1, 'ఇలా': 1, 'చెబుతోంది': 1}",0.0
['தொலைபேசி'],['ఫోన్'],{},{},"[('ఫోన్', 'OTHER')]","[('ఫోన్', 'O')]",{'தொலைபேசி': 1},{'ఫోన్': 1},0.0
"['எங்களால்', 'முடிந்தது']","['ఇప్పుడే', 'మేము', 'మళ్ళీ', 'చేశాం']","{('எங்களால்', 'முடிந்தது'): 1.0}","{('ఇప్పుడే', 'మేము'): 0.3333333333333333, ('మేము', 'మళ్ళీ'): 0.3333333333333333, ('మళ్ళీ', 'చేశాం'): 0.3333333333333333}","[('ఇప్పుడే', 'OTHER'), ('మేము', 'NOUN'), ('మళ్ళీ', 'OTHER'), ('చేశాం', 'OTHER')]","[('ఇప్పుడే', 'O'), ('మేము', 'O'), ('మళ్ళీ', 'O'), ('చేశాం', 'O')]","{'எங்களால்': 1, 'முடிந்தது': 1}","{'ఇప్పుడే': 1, 'మేము': 1, 'మళ్ళీ': 1, 'చేశాం': 1}",0.0
"['ஜூலை', 'இல்', 'மீது']","['జూలై', 'వద్ద', 'ఉదయం']","{('ஜூலை', 'இல்'): 0.5, ('இல்', 'மீது'): 0.5}","{('జూలై', 'వద్ద'): 0.5, ('వద్ద', 'ఉదయం'): 0.5}","[('జూలై', 'OTHER'), ('వద్ద', 'OTHER'), ('ఉదయం', 'OTHER')]","[('జూలై', 'O'), ('వద్ద', 'O'), ('ఉదయం', 'O')]","{'ஜூலை': 1, 'இல்': 1, 'மீது': 1}","{'జూలై': 1, 'వద్ద': 1, 'ఉదయం': 1}",0.0
['பார்வையாளர்கள்'],['ప్రేక్షకులు'],{},{},"[('ప్రేక్షకులు', 'OTHER')]","[('ప్రేక్షకులు', 'O')]",{'பார்வையாளர்கள்': 1},{'ప్రేక్షకులు': 1},0.0
"['தொடங்கத்', 'தயாரா']","['ప్రారంభించడానికి', 'సిద్ధమా']","{('தொடங்கத்', 'தயாரா'): 1.0}","{('ప్రారంభించడానికి', 'సిద్ధమా'): 1.0}","[('ప్రారంభించడానికి', 'OTHER'), ('సిద్ధమా', 'OTHER')]","[('ప్రారంభించడానికి', 'O'), ('సిద్ధమా', 'O')]","{'தொடங்கத்': 1, 'தயாரா': 1}","{'ప్రారంభించడానికి': 1, 'సిద్ధమా': 1}",0.0
['தொலைபேசி'],['ఫోన్'],{},{},"[('ఫోన్', 'OTHER')]","[('ఫోన్', 'O')]",{'தொலைபேசி': 1},{'ఫోన్': 1},0.0
"['ஆனால்', 'அது', 'வழி', 'இருக்க', 'வேண்டும்']","['కానీ', 'ఆ', 'విధంగా', 'ఉండాలి', 'లేదు']","{('ஆனால்', 'அது'): 0.25, ('அது', 'வழி'): 0.25, ('வழி', 'இருக்க'): 0.25, ('இருக்க', 'வேண்டும்'): 0.25}","{('కానీ', 'ఆ'): 0.25, ('ఆ', 'విధంగా'): 0.25, ('విధంగా', 'ఉండాలి'): 0.25, ('ఉండాలి', 'లేదు'): 0.25}","[('కానీ', 'OTHER'), ('ఆ', 'OTHER'), ('విధంగా', 'OTHER'), ('ఉండాలి', 'OTHER'), ('లేదు', 'OTHER')]","[('కానీ', 'O'), ('ఆ', 'O'), ('విధంగా', 'O'), ('ఉండాలి', 'O'), ('లేదు', 'O')]","{'ஆனால்': 1, 'அது': 1, 'வழி': 1, 'இருக்க': 1, 'வேண்டும்': 1}","{'కానీ': 1, 'ఆ': 1, 'విధంగా': 1, 'ఉండాలి': 1, 'లేదు': 1}",0.0
"['நீங்கள்', 'இன்னும்', 'விவரங்களைக்', 'காண', 'விரும்புகிறீர்களா']","['మీరు', 'మరిన్ని', 'వివరాలను', 'చూడాలనుకుంటున్నారా']","{('நீங்கள்', 'இன்னும்'): 0.25, ('இன்னும்', 'விவரங்களைக்'): 0.25, ('விவரங்களைக்', 'காண'): 0.25, ('காண', 'விரும்புகிறீர்களா'): 0.25}","{('మీరు', 'మరిన్ని'): 0.3333333333333333, ('మరిన్ని', 'వివరాలను'): 0.3333333333333333, ('వివరాలను', 'చూడాలనుకుంటున్నారా'): 0.3333333333333333}","[('మీరు', 'OTHER'), ('మరిన్ని', 'OTHER'), ('వివరాలను', 'OTHER'), ('చూడాలనుకుంటున్నారా', 'OTHER')]","[('మీరు', 'O'), ('మరిన్ని', 'O'), ('వివరాలను', 'O'), ('చూడాలనుకుంటున్నారా', 'O')]","{'நீங்கள்': 1, 'இன்னும்': 1, 'விவரங்களைக்': 1, 'காண': 1, 'விரும்புகிறீர்களா': 1}","{'మీరు': 1, 'మరిన్ని': 1, 'వివరాలను': 1, 'చూడాలనుకుంటున్నారా': 1}",0.0
"['©', 'சி', 'டாக்', 'அனைத்து', 'உரிமைகளும்']","['©', 'సర్వ', 'హక్కులు', 'సిడాక్', 'కు', 'రిజర్వు', 'చేయబడినవి']","{('©', 'சி'): 0.25, ('சி', 'டாக்'): 0.25, ('டாக்', 'அனைத்து'): 0.25, ('அனைத்து', 'உரிமைகளும்'): 0.25}","{('©', 'సర్వ'): 0.16666666666666666, ('సర్వ', 'హక్కులు'): 0.16666666666666666, ('హక్కులు', 'సిడాక్'): 0.16666666666666666, ('సిడాక్', 'కు'): 0.16666666666666666, ('కు', 'రిజర్వు'): 0.16666666666666666, ('రిజర్వు', 'చేయబడినవి'): 0.16666666666666666}","[('©', 'OTHER'), ('సర్వ', 'OTHER'), ('హక్కులు', 'OTHER'), ('సిడాక్', 'OTHER'), ('కు', 'OTHER'), ('రిజర్వు', 'OTHER'), ('చేయబడినవి', 'OTHER')]","[('©', 'O'), ('సర్వ', 'O'), ('హక్కులు', 'O'), ('సిడాక్', 'O'), ('కు', 'O'), ('రిజర్వు', 'O'), ('చేయబడినవి', 'O')]","{'©': 1, 'சி': 1, 'டாக்': 1, 'அனைத்து': 1, 'உரிமைகளும்': 1}","{'©': 1, 'సర్వ': 1, 'హక్కులు': 1, 'సిడాక్': 1, 'కు': 1, 'రిజర్వు': 1, 'చేయబడినవి': 1}",0.16903085094570328
['மே'],['మే'],{},{},"[('మే', 'OTHER')]","[('మే', 'O')]",{'மே': 1},{'మే': 1},0.0
['தொலைபேசி'],['ఫోన్'],{},{},"[('ఫోన్', 'OTHER')]","[('ఫోన్', 'O')]",{'தொலைபேசி': 1},{'ఫోన్': 1},0.0
"['என்ன', 'அது']","['ఇది', 'ఏమిటి']","{('என்ன', 'அது'): 1.0}","{('ఇది', 'ఏమిటి'): 1.0}","[('ఇది', 'OTHER'), ('ఏమిటి', 'OTHER')]","[('ఇది', 'O'), ('ఏమిటి', 'O')]","{'என்ன': 1, 'அது': 1}","{'ఇది': 1, 'ఏమిటి': 1}",0.0
"['கால்', 'ஆதரவு', 'தொலைபேசி']","['కాల్', 'మద్దతు', 'ఫోన్']","{('கால்', 'ஆதரவு'): 0.5, ('ஆதரவு', 'தொலைபேசி'): 0.5}","{('కాల్', 'మద్దతు'): 0.5, ('మద్దతు', 'ఫోన్'): 0.5}","[('కాల్', 'OTHER'), ('మద్దతు', 'OTHER'), ('ఫోన్', 'OTHER')]","[('కాల్', 'O'), ('మద్దతు', 'O'), ('ఫోన్', 'O')]","{'கால்': 1, 'ஆதரவு': 1, 'தொலைபேசி': 1}","{'కాల్': 1, 'మద్దతు': 1, 'ఫోన్': 1}",0.0
"['அப்பாவி', 'தயவு', 'செய்து', 'தேர்வு', 'கோப்பை']","['దయచేసి', 'ఎంచుకోండి', 'హౌస్']","{('அப்பாவி', 'தயவு'): 0.25, ('தயவு', 'செய்து'): 0.25, ('செய்து', 'தேர்வு'): 0.25, ('தேர்வு', 'கோப்பை'): 0.25}","{('దయచేసి', 'ఎంచుకోండి'): 0.5, ('ఎంచుకోండి', 'హౌస్'): 0.5}","[('దయచేసి', 'OTHER'), ('ఎంచుకోండి', 'OTHER'), ('హౌస్', 'OTHER')]","[('దయచేసి', 'O'), ('ఎంచుకోండి', 'O'), ('హౌస్', 'O')]","{'அப்பாவி': 1, 'தயவு': 1, 'செய்து': 1, 'தேர்வு': 1, 'கோப்பை': 1}","{'దయచేసి': 1, 'ఎంచుకోండి': 1, 'హౌస్': 1}",0.0
"['நாம்', 'உலக', 'இருந்து', 'வளர்ந்து', 'உதவ']","['మేము', 'ప్రపంచ', 'నుంచి', 'పొందాయి', 'సహాయం']","{('நாம்', 'உலக'): 0.25, ('உலக', 'இருந்து'): 0.25, ('இருந்து', 'வளர்ந்து'): 0.25, ('வளர்ந்து', 'உதவ'): 0.25}","{('మేము', 'ప్రపంచ'): 0.25, ('ప్రపంచ', 'నుంచి'): 0.25, ('నుంచి', 'పొందాయి'): 0.25, ('పొందాయి', 'సహాయం'): 0.25}","[('మేము', 'NOUN'), ('ప్రపంచ', 'OTHER'), ('నుంచి', 'OTHER'), ('పొందాయి', 'OTHER'), ('సహాయం', 'OTHER')]","[('మేము', 'O'), ('ప్రపంచ', 'O'), ('నుంచి', 'O'), ('పొందాయి', 'O'), ('సహాయం', 'O')]","{'நாம்': 1, 'உலக': 1, 'இருந்து': 1, 'வளர்ந்து': 1, 'உதவ': 1}","{'మేము': 1, 'ప్రపంచ': 1, 'నుంచి': 1, 'పొందాయి': 1, 'సహాయం': 1}",0.0
"['தி', 'முதல்', 'சிக்கல்', 'செலவாகும்']","['ది', 'మొదటి', 'సమస్య', 'ఖర్చు']","{('தி', 'முதல்'): 0.3333333333333333, ('முதல்', 'சிக்கல்'): 0.3333333333333333, ('சிக்கல்', 'செலவாகும்'): 0.3333333333333333}","{('ది', 'మొదటి'): 0.3333333333333333, ('మొదటి', 'సమస్య'): 0.3333333333333333, ('సమస్య', 'ఖర్చు'): 0.3333333333333333}","[('ది', 'OTHER'), ('మొదటి', 'OTHER'), ('సమస్య', 'OTHER'), ('ఖర్చు', 'OTHER')]","[('ది', 'O'), ('మొదటి', 'O'), ('సమస్య', 'O'), ('ఖర్చు', 'O')]","{'தி': 1, 'முதல்': 1, 'சிக்கல்': 1, 'செலவாகும்': 1}","{'ది': 1, 'మొదటి': 1, 'సమస్య': 1, 'ఖర్చు': 1}",0.0
"['நாம்', 'யார்']","['ఎవరు', 'మేము', 'ఉంటాయి']","{('நாம்', 'யார்'): 1.0}","{('ఎవరు', 'మేము'): 0.5, ('మేము', 'ఉంటాయి'): 0.5}","[('ఎవరు', 'OTHER'), ('మేము', 'NOUN'), ('ఉంటాయి', 'OTHER')]","[('ఎవరు', 'O'), ('మేము', 'O'), ('ఉంటాయి', 'O')]","{'நாம்': 1, 'யார்': 1}","{'ఎవరు': 1, 'మేము': 1, 'ఉంటాయి': 1}",0.0
['தொலைபேசி'],['ఫోన్'],{},{},"[('ఫోన్', 'OTHER')]","[('ఫోన్', 'O')]",{'தொலைபேசி': 1},{'ఫోన్': 1},0.0
"['கவனமாக', 'இருங்கள்', 'அது', 'படிக்க', 'வேண்டும்']","['జాగ్రత్తగా', 'ఉండండి', 'అది', 'తప్పక', 'చదవండి']","{('கவனமாக', 'இருங்கள்'): 0.25, ('இருங்கள்', 'அது'): 0.25, ('அது', 'படிக்க'): 0.25, ('படிக்க', 'வேண்டும்'): 0.25}","{('జాగ్రత్తగా', 'ఉండండి'): 0.25, ('ఉండండి', 'అది'): 0.25, ('అది', 'తప్పక'): 0.25, ('తప్పక', 'చదవండి'): 0.25}","[('జాగ్రత్తగా', 'OTHER'), ('ఉండండి', 'OTHER'), ('అది', 'OTHER'), ('తప్పక', 'OTHER'), ('చదవండి', 'OTHER')]","[('జాగ్రత్తగా', 'O'), ('ఉండండి', 'O'), ('అది', 'O'), ('తప్పక', 'O'), ('చదవండి', 'O')]","{'கவனமாக': 1, 'இருங்கள்': 1, 'அது': 1, 'படிக்க': 1, 'வேண்டும்': 1}","{'జాగ్రత్తగా': 1, 'ఉండండి': 1, 'అది': 1, 'తప్పక': 1, 'చదవండి': 1}",0.0
['ரோமன்'],['రోమన్'],{},{},"[('రోమన్', 'OTHER')]","[('రోమన్', 'O')]",{'ரோமன்': 1},{'రోమన్': 1},0.0
"['அது', 'வேலை', 'செய்யவில்லை']","['అది', 'పని', 'చేసింది']","{('அது', 'வேலை'): 0.5, ('வேலை', 'செய்யவில்லை'): 0.5}","{('అది', 'పని'): 0.5, ('పని', 'చేసింది'): 0.5}","[('అది', 'OTHER'), ('పని', 'OTHER'), ('చేసింది', 'OTHER')]","[('అది', 'O'), ('పని', 'O'), ('చేసింది', 'O')]","{'அது': 1, 'வேலை': 1, 'செய்யவில்லை': 1}","{'అది': 1, 'పని': 1, 'చేసింది': 1}",0.0
"['கால்', 'ஆதரவு']","['కాల్', 'మద్దతు']","{('கால்', 'ஆதரவு'): 1.0}","{('కాల్', 'మద్దతు'): 1.0}","[('కాల్', 'OTHER'), ('మద్దతు', 'OTHER')]","[('కాల్', 'O'), ('మద్దతు', 'O')]","{'கால்': 1, 'ஆதரவு': 1}","{'కాల్': 1, 'మద్దతు': 1}",0.0
"['நீங்கள்', 'அது', 'நடக்காது', 'என்று', 'சொல்லலாம்']","['మీరు', 'అది', 'జరగలేదు', 'అని', 'చెబుతాను']","{('நீங்கள்', 'அது'): 0.25, ('அது', 'நடக்காது'): 0.25, ('நடக்காது', 'என்று'): 0.25, ('என்று', 'சொல்லலாம்'): 0.25}","{('మీరు', 'అది'): 0.25, ('అది', 'జరగలేదు'): 0.25, ('జరగలేదు', 'అని'): 0.25, ('అని', 'చెబుతాను'): 0.25}","[('మీరు', 'OTHER'), ('అది', 'OTHER'), ('జరగలేదు', 'OTHER'), ('అని', 'OTHER'), ('చెబుతాను', 'OTHER')]","[('మీరు', 'O'), ('అది', 'O'), ('జరగలేదు', 'O'), ('అని', 'O'), ('చెబుతాను', 'O')]","{'நீங்கள்': 1, 'அது': 1, 'நடக்காது': 1, 'என்று': 1, 'சொல்லலாம்': 1}","{'మీరు': 1, 'అది': 1, 'జరగలేదు': 1, 'అని': 1, 'చెబుతాను': 1}",0.0
['தமிழ்'],['తెలుగు'],{},{},"[('తెలుగు', 'OTHER')]","[('తెలుగు', 'O')]",{'தமிழ்': 1},{'తెలుగు': 1},0.0
['தொலைபேசி'],['ఫోన్'],{},{},"[('ఫోన్', 'OTHER')]","[('ఫోన్', 'O')]",{'தொலைபேசி': 1},{'ఫోన్': 1},0.0
"['ஊழியர்', 'கற்பிக்கிறது', '“ஏன்”', 'மற்றும்', 'மட்டும்', 'எப்படி”']","['ఉద్యోగులు', 'నేర్పండి', '“ఎందుకు”', 'మరియు', 'కేవలం', 'ఎలా”']","{('ஊழியர்', 'கற்பிக்கிறது'): 0.2, ('கற்பிக்கிறது', '“ஏன்”'): 0.2, ('“ஏன்”', 'மற்றும்'): 0.2, ('மற்றும்', 'மட்டும்'): 0.2, ('மட்டும்', 'எப்படி”'): 0.2}","{('ఉద్యోగులు', 'నేర్పండి'): 0.2, ('నేర్పండి', '“ఎందుకు”'): 0.2, ('“ఎందుకు”', 'మరియు'): 0.2, ('మరియు', 'కేవలం'): 0.2, ('కేవలం', 'ఎలా”'): 0.2}","[('ఉద్యోగులు', 'OTHER'), ('నేర్పండి', 'OTHER'), ('“ఎందుకు”', 'OTHER'), ('మరియు', 'OTHER'), ('కేవలం', 'OTHER'), ('ఎలా”', 'OTHER')]","[('ఉద్యోగులు', 'O'), ('నేర్పండి', 'O'), ('“ఎందుకు”', 'O'), ('మరియు', 'O'), ('కేవలం', 'O'), ('ఎలా”', 'O')]","{'ஊழியர்': 1, 'கற்பிக்கிறது': 1, '“ஏன்”': 1, 'மற்றும்': 1, 'மட்டும்': 1, 'எப்படி”': 1}","{'ఉద్యోగులు': 1, 'నేర్పండి': 1, '“ఎందుకు”': 1, 'మరియు': 1, 'కేవలం': 1, 'ఎలా”': 1}",0.0
['தொலைபேசி'],['ఫోన్'],{},{},"[('ఫోన్', 'OTHER')]","[('ఫోన్', 'O')]",{'தொலைபேசி': 1},{'ఫోన్': 1},0.0
['தொலைபேசி'],['టెలిఫోన్'],{},{},"[('టెలిఫోన్', 'OTHER')]","[('టెలిఫోన్', 'O')]",{'தொலைபேசி': 1},{'టెలిఫోన్': 1},0.0
['தொலைபேசி'],['ఫోన్'],{},{},"[('ఫోన్', 'OTHER')]","[('ఫోన్', 'O')]",{'தொலைபேசி': 1},{'ఫోన్': 1},0.0
"['உங்களுக்கு', 'உதவ', 'முடியும்', 'என்பதைக்', 'காண்க']","['మేము', 'మీకు', 'ఎలా', 'సహాయపడతామో', 'చూడండి']","{('உங்களுக்கு', 'உதவ'): 0.25, ('உதவ', 'முடியும்'): 0.25, ('முடியும்', 'என்பதைக்'): 0.25, ('என்பதைக்', 'காண்க'): 0.25}","{('మేము', 'మీకు'): 0.25, ('మీకు', 'ఎలా'): 0.25, ('ఎలా', 'సహాయపడతామో'): 0.25, ('సహాయపడతామో', 'చూడండి'): 0.25}","[('మేము', 'NOUN'), ('మీకు', 'OTHER'), ('ఎలా', 'OTHER'), ('సహాయపడతామో', 'OTHER'), ('చూడండి', 'OTHER')]","[('మేము', 'O'), ('మీకు', 'O'), ('ఎలా', 'O'), ('సహాయపడతామో', 'O'), ('చూడండి', 'O')]","{'உங்களுக்கு': 1, 'உதவ': 1, 'முடியும்': 1, 'என்பதைக்': 1, 'காண்க': 1}","{'మేము': 1, 'మీకు': 1, 'ఎలా': 1, 'సహాయపడతామో': 1, 'చూడండి': 1}",0.0
['தொலைநகல்'],['ఫ్యాక్స్'],{},{},"[('ఫ్యాక్స్', 'OTHER')]","[('ఫ్యాక్స్', 'O')]",{'தொலைநகல்': 1},{'ఫ్యాక్స్': 1},0.0
['ஜூன்'],['జూన్'],{},{},"[('జూన్', 'OTHER')]","[('జూన్', 'O')]",{'ஜூன்': 1},{'జూన్': 1},0.0
['சர்வதேச'],['అంతర్జాతీయ'],{},{},"[('అంతర్జాతీయ', 'OTHER')]","[('అంతర్జాతీయ', 'O')]",{'சர்வதேச': 1},{'అంతర్జాతీయ': 1},0.0
['தொலைபேசி'],['ఫోన్'],{},{},"[('ఫోన్', 'OTHER')]","[('ఫోన్', 'O')]",{'தொலைபேசி': 1},{'ఫోన్': 1},0.0
['தொலைபேசி'],['ఫోన్'],{},{},"[('ఫోన్', 'OTHER')]","[('ఫోన్', 'O')]",{'தொலைபேசி': 1},{'ఫోన్': 1},0.0
"['உங்களிடமிருந்து', 'கேட்க', 'நாங்கள்', 'விரும்புகிறோம்']","['మేము', 'మీ', 'నుండి', 'వినడానికి', 'ఇష్టపడతాము']","{('உங்களிடமிருந்து', 'கேட்க'): 0.3333333333333333, ('கேட்க', 'நாங்கள்'): 0.3333333333333333, ('நாங்கள்', 'விரும்புகிறோம்'): 0.3333333333333333}","{('మేము', 'మీ'): 0.25, ('మీ', 'నుండి'): 0.25, ('నుండి', 'వినడానికి'): 0.25, ('వినడానికి', 'ఇష్టపడతాము'): 0.25}","[('మేము', 'NOUN'), ('మీ', 'OTHER'), ('నుండి', 'OTHER'), ('వినడానికి', 'OTHER'), ('ఇష్టపడతాము', 'NOUN')]","[('మేము', 'O'), ('మీ', 'O'), ('నుండి', 'O'), ('వినడానికి', 'O'), ('ఇష్టపడతాము', 'O')]","{'உங்களிடமிருந்து': 1, 'கேட்க': 1, 'நாங்கள்': 1, 'விரும்புகிறோம்': 1}","{'మేము': 1, 'మీ': 1, 'నుండి': 1, 'వినడానికి': 1, 'ఇష్టపడతాము': 1}",0.0
"['இது', 'எப்படி', 'வேலை', 'செய்கிறது']","['ఇది', 'ఎలా', 'పని', 'చేస్తుంది']","{('இது', 'எப்படி'): 0.3333333333333333, ('எப்படி', 'வேலை'): 0.3333333333333333, ('வேலை', 'செய்கிறது'): 0.3333333333333333}","{('ఇది', 'ఎలా'): 0.3333333333333333, ('ఎలా', 'పని'): 0.3333333333333333, ('పని', 'చేస్తుంది'): 0.3333333333333333}","[('ఇది', 'OTHER'), ('ఎలా', 'OTHER'), ('పని', 'OTHER'), ('చేస్తుంది', 'VERB')]","[('ఇది', 'O'), ('ఎలా', 'O'), ('పని', 'O'), ('చేస్తుంది', 'O')]","{'இது': 1, 'எப்படி': 1, 'வேலை': 1, 'செய்கிறது': 1}","{'ఇది': 1, 'ఎలా': 1, 'పని': 1, 'చేస్తుంది': 1}",0.0
['இந்தியா'],['భారత్'],{},{},"[('భారత్', 'OTHER')]","[('భారత్', 'O')]",{'இந்தியா': 1},{'భారత్': 1},0.0
"['மிஸ்லாடோட்', 'பிசிக்கள்', 'கர்ல்', 'ஃப்ளாட்', 'கண்ணிஷ்', 'நீட்டிப்பு']","['మిస్లాండోడ్', 'లు', 'కర్ల్', 'ఫ్లాట్', 'వెంట్రుష్', 'ఎక్స్టెన్షన్']","{('மிஸ்லாடோட்', 'பிசிக்கள்'): 0.2, ('பிசிக்கள்', 'கர்ல்'): 0.2, ('கர்ல்', 'ஃப்ளாட்'): 0.2, ('ஃப்ளாட்', 'கண்ணிஷ்'): 0.2, ('கண்ணிஷ்', 'நீட்டிப்பு'): 0.2}","{('మిస్లాండోడ్', 'లు'): 0.2, ('లు', 'కర్ల్'): 0.2, ('కర్ల్', 'ఫ్లాట్'): 0.2, ('ఫ్లాట్', 'వెంట్రుష్'): 0.2, ('వెంట్రుష్', 'ఎక్స్టెన్షన్'): 0.2}","[('మిస్లాండోడ్', 'OTHER'), ('లు', 'OTHER'), ('కర్ల్', 'OTHER'), ('ఫ్లాట్', 'OTHER'), ('వెంట్రుష్', 'OTHER'), ('ఎక్స్టెన్షన్', 'OTHER')]","[('మిస్లాండోడ్', 'O'), ('లు', 'O'), ('కర్ల్', 'O'), ('ఫ్లాట్', 'O'), ('వెంట్రుష్', 'O'), ('ఎక్స్టెన్షన్', 'O')]","{'மிஸ்லாடோட்': 1, 'பிசிக்கள்': 1, 'கர்ல்': 1, 'ஃப்ளாட்': 1, 'கண்ணிஷ்': 1, 'நீட்டிப்பு': 1}","{'మిస్లాండోడ్': 1, 'లు': 1, 'కర్ల్': 1, 'ఫ్లాట్': 1, 'వెంట్రుష్': 1, 'ఎక్స్టెన్షన్': 1}",0.0
"['ஆம்', 'எனக்கு', 'ஏற்கனவே', 'உள்ளது']","['అవును', 'నాకు', 'ఇప్పటికే', 'ఉంది']","{('ஆம்', 'எனக்கு'): 0.3333333333333333, ('எனக்கு', 'ஏற்கனவே'): 0.3333333333333333, ('ஏற்கனவே', 'உள்ளது'): 0.3333333333333333}","{('అవును', 'నాకు'): 0.3333333333333333, ('నాకు', 'ఇప్పటికే'): 0.3333333333333333, ('ఇప్పటికే', 'ఉంది'): 0.3333333333333333}","[('అవును', 'OTHER'), ('నాకు', 'OTHER'), ('ఇప్పటికే', 'OTHER'), ('ఉంది', 'OTHER')]","[('అవును', 'O'), ('నాకు', 'O'), ('ఇప్పటికే', 'O'), ('ఉంది', 'O')]","{'ஆம்': 1, 'எனக்கு': 1, 'ஏற்கனவே': 1, 'உள்ளது': 1}","{'అవును': 1, 'నాకు': 1, 'ఇప్పటికే': 1, 'ఉంది': 1}",0.0
['திறந்தது'],['ఓపెన్'],{},{},"[('ఓపెన్', 'OTHER')]","[('ఓపెన్', 'O')]",{'திறந்தது': 1},{'ఓపెన్': 1},0.0
