Telugu,Tamil,Tamil_tokens,Telugu_tokens,Tamil_POS,Telugu_POS,Tamil_NER,Telugu_NER
నేను నిజంగా మీకు ఇష్టం,நான் உன்னை மிகவும் விரும்புகிறேன்,"['நான்', 'உன்னை', 'மிகவும்', 'விரும்புகிறேன்']","['నేను', 'నిజంగా', 'మీకు', 'ఇష్టం']","[('நான்', 'NOUN'), ('உன்னை', 'NOUN'), ('மிகவும்', 'NOUN'), ('விரும்புகிறேன்', 'NOUN')]","[('నేను', 'NOUN'), ('నిజంగా', 'NOUN'), ('మీకు', 'NOUN'), ('ఇష్టం', 'VERB')]","[('நான்', 'O'), ('உன்னை', 'O'), ('மிகவும்', 'O'), ('விரும்புகிறேன்', 'O')]","[('నేను', 'O'), ('నిజంగా', 'O'), ('మీకు', 'O'), ('ఇష్టం', 'O')]"
మేము ప్రారంభం కావాలి,நாம் தொடங்க வேண்டும்,"['நாம்', 'தொடங்க', 'வேண்டும்']","['మేము', 'ప్రారంభం', 'కావాలి']","[('நாம்', 'NOUN'), ('தொடங்க', 'NOUN'), ('வேண்டும்', 'NOUN')]","[('మేము', 'NOUN'), ('ప్రారంభం', 'VERB'), ('కావాలి', 'NOUN')]","[('நாம்', 'O'), ('தொடங்க', 'O'), ('வேண்டும்', 'O')]","[('మేము', 'O'), ('ప్రారంభం', 'O'), ('కావాలి', 'O')]"
కానీ కొన్ని సాధ్యం శుభవార్త ఉంది,ஆனால் சில சாத்தியமான நல்ல செய்தி உள்ளது,"['ஆனால்', 'சில', 'சாத்தியமான', 'நல்ல', 'செய்தி', 'உள்ளது']","['కానీ', 'కొన్ని', 'సాధ్యం', 'శుభవార్త', 'ఉంది']","[('ஆனால்', 'POSTP'), ('சில', 'NOUN'), ('சாத்தியமான', 'NOUN'), ('நல்ல', 'NOUN'), ('செய்தி', 'NOUN'), ('உள்ளது', 'NOUN')]","[('కానీ', 'NOUN'), ('కొన్ని', 'NOUN'), ('సాధ్యం', 'VERB'), ('శుభవార్త', 'NOUN'), ('ఉంది', 'NOUN')]","[('ஆனால்', 'O'), ('சில', 'O'), ('சாத்தியமான', 'O'), ('நல்ல', 'O'), ('செய்தி', 'O'), ('உள்ளது', 'O')]","[('కానీ', 'O'), ('కొన్ని', 'O'), ('సాధ్యం', 'O'), ('శుభవార్త', 'O'), ('ఉంది', 'O')]"
మీ స్వంత ఎక్స్పెవెన్టిన్ చేయండి,உங்கள் சொந்த  ஐ உருவாக்குங்கள்,"['உங்கள்', 'சொந்த', 'ஐ', 'உருவாக்குங்கள்']","['మీ', 'స్వంత', 'ఎక్స్పెవెన్టిన్', 'చేయండి']","[('உங்கள்', 'NOUN'), ('சொந்த', 'NOUN'), ('ஐ', 'NOUN'), ('உருவாக்குங்கள்', 'NOUN')]","[('మీ', 'NOUN'), ('స్వంత', 'NOUN'), ('ఎక్స్పెవెన్టిన్', 'NOUN'), ('చేయండి', 'NOUN')]","[('உங்கள்', 'O'), ('சொந்த', 'O'), ('ஐ', 'O'), ('உருவாக்குங்கள்', 'O')]","[('మీ', 'O'), ('స్వంత', 'O'), ('ఎక్స్పెవెన్టిన్', 'O'), ('చేయండి', 'O')]"
బైబిలు ఇలా చెబుతోంది,பைபிள் கூறுகிறது,"['பைபிள்', 'கூறுகிறது']","['బైబిలు', 'ఇలా', 'చెబుతోంది']","[('பைபிள்', 'NOUN'), ('கூறுகிறது', 'NOUN')]","[('బైబిలు', 'NOUN'), ('ఇలా', 'NOUN'), ('చెబుతోంది', 'NOUN')]","[('பைபிள்', 'O'), ('கூறுகிறது', 'O')]","[('బైబిలు', 'O'), ('ఇలా', 'O'), ('చెబుతోంది', 'O')]"
ఫోన్,தொலைபேசி,['தொலைபேசி'],['ఫోన్'],"[('தொலைபேசி', 'NOUN')]","[('ఫోన్', 'NOUN')]","[('தொலைபேசி', 'O')]","[('ఫోన్', 'O')]"
ఇప్పుడే మేము మళ్ళీ చేశాం,எங்களால் முடிந்தது,"['எங்களால்', 'முடிந்தது']","['ఇప్పుడే', 'మేము', 'మళ్ళీ', 'చేశాం']","[('எங்களால்', 'POSTP'), ('முடிந்தது', 'NOUN')]","[('ఇప్పుడే', 'NOUN'), ('మేము', 'NOUN'), ('మళ్ళీ', 'NOUN'), ('చేశాం', 'VERB')]","[('எங்களால்', 'O'), ('முடிந்தது', 'O')]","[('ఇప్పుడే', 'O'), ('మేము', 'O'), ('మళ్ళీ', 'O'), ('చేశాం', 'O')]"
జూలై   వద్ద  ఉదయం,ஜூலை   இல்  மீது,"['ஜூலை', 'இல்', 'மீது']","['జూలై', 'వద్ద', 'ఉదయం']","[('ஜூலை', 'NOUN'), ('இல்', 'POSTP'), ('மீது', 'NOUN')]","[('జూలై', 'NOUN'), ('వద్ద', 'NOUN'), ('ఉదయం', 'VERB')]","[('ஜூலை', 'O'), ('இல்', 'O'), ('மீது', 'O')]","[('జూలై', 'O'), ('వద్ద', 'O'), ('ఉదయం', 'O')]"
ప్రేక్షకులు,பார்வையாளர்கள்,['பார்வையாளர்கள்'],['ప్రేక్షకులు'],"[('பார்வையாளர்கள்', 'NOUN')]","[('ప్రేక్షకులు', 'NOUN')]","[('பார்வையாளர்கள்', 'O')]","[('ప్రేక్షకులు', 'O')]"
ప్రారంభించడానికి సిద్ధమా,தொடங்கத் தயாரா,"['தொடங்கத்', 'தயாரா']","['ప్రారంభించడానికి', 'సిద్ధమా']","[('தொடங்கத்', 'NOUN'), ('தயாரா', 'NOUN')]","[('ప్రారంభించడానికి', 'POSTP'), ('సిద్ధమా', 'NOUN')]","[('தொடங்கத்', 'O'), ('தயாரா', 'O')]","[('ప్రారంభించడానికి', 'O'), ('సిద్ధమా', 'O')]"
ఫోన్,தொலைபேசி,['தொலைபேசி'],['ఫోన్'],"[('தொலைபேசி', 'NOUN')]","[('ఫోన్', 'NOUN')]","[('தொலைபேசி', 'O')]","[('ఫోన్', 'O')]"
కానీ ఆ విధంగా ఉండాలి లేదు,ஆனால் அது வழி இருக்க வேண்டும்,"['ஆனால்', 'அது', 'வழி', 'இருக்க', 'வேண்டும்']","['కానీ', 'ఆ', 'విధంగా', 'ఉండాలి', 'లేదు']","[('ஆனால்', 'POSTP'), ('அது', 'NOUN'), ('வழி', 'NOUN'), ('இருக்க', 'NOUN'), ('வேண்டும்', 'NOUN')]","[('కానీ', 'NOUN'), ('ఆ', 'NOUN'), ('విధంగా', 'NOUN'), ('ఉండాలి', 'NOUN'), ('లేదు', 'NOUN')]","[('ஆனால்', 'O'), ('அது', 'O'), ('வழி', 'O'), ('இருக்க', 'O'), ('வேண்டும்', 'O')]","[('కానీ', 'O'), ('ఆ', 'O'), ('విధంగా', 'O'), ('ఉండాలి', 'O'), ('లేదు', 'O')]"
మీరు మరిన్ని వివరాలను చూడాలనుకుంటున్నారా,நீங்கள் இன்னும் விவரங்களைக் காண விரும்புகிறீர்களா,"['நீங்கள்', 'இன்னும்', 'விவரங்களைக்', 'காண', 'விரும்புகிறீர்களா']","['మీరు', 'మరిన్ని', 'వివరాలను', 'చూడాలనుకుంటున్నారా']","[('நீங்கள்', 'NOUN'), ('இன்னும்', 'NOUN'), ('விவரங்களைக்', 'NOUN'), ('காண', 'NOUN'), ('விரும்புகிறீர்களா', 'NOUN')]","[('మీరు', 'NOUN'), ('మరిన్ని', 'NOUN'), ('వివరాలను', 'NOUN'), ('చూడాలనుకుంటున్నారా', 'NOUN')]","[('நீங்கள்', 'O'), ('இன்னும்', 'O'), ('விவரங்களைக்', 'O'), ('காண', 'O'), ('விரும்புகிறீர்களா', 'O')]","[('మీరు', 'O'), ('మరిన్ని', 'O'), ('వివరాలను', 'O'), ('చూడాలనుకుంటున్నారా', 'O')]"
©  సర్వ హక్కులు సిడాక్ కు రిజర్వు చేయబడినవి,©  சி டாக் அனைத்து உரிமைகளும்,"['©', 'சி', 'டாக்', 'அனைத்து', 'உரிமைகளும்']","['©', 'సర్వ', 'హక్కులు', 'సిడాక్', 'కు', 'రిజర్వు', 'చేయబడినవి']","[('©', 'NOUN'), ('சி', 'NOUN'), ('டாக்', 'NOUN'), ('அனைத்து', 'NOUN'), ('உரிமைகளும்', 'NOUN')]","[('©', 'NOUN'), ('సర్వ', 'NOUN'), ('హక్కులు', 'NOUN'), ('సిడాక్', 'NOUN'), ('కు', 'NOUN'), ('రిజర్వు', 'NOUN'), ('చేయబడినవి', 'NOUN')]","[('©', 'O'), ('சி', 'O'), ('டாக்', 'O'), ('அனைத்து', 'O'), ('உரிமைகளும்', 'O')]","[('©', 'O'), ('సర్వ', 'O'), ('హక్కులు', 'O'), ('సిడాక్', 'O'), ('కు', 'O'), ('రిజర్వు', 'O'), ('చేయబడినవి', 'O')]"
మే,மே,['மே'],['మే'],"[('மே', 'NOUN')]","[('మే', 'NOUN')]","[('மே', 'O')]","[('మే', 'O')]"
ఫోన్,தொலைபேசி,['தொலைபேசி'],['ఫోన్'],"[('தொலைபேசி', 'NOUN')]","[('ఫోన్', 'NOUN')]","[('தொலைபேசி', 'O')]","[('ఫోన్', 'O')]"
ఇది ఏమిటి,என்ன அது,"['என்ன', 'அது']","['ఇది', 'ఏమిటి']","[('என்ன', 'NOUN'), ('அது', 'NOUN')]","[('ఇది', 'NOUN'), ('ఏమిటి', 'NOUN')]","[('என்ன', 'O'), ('அது', 'O')]","[('ఇది', 'O'), ('ఏమిటి', 'O')]"
కాల్ మద్దతు ఫోన్,கால் ஆதரவு தொலைபேசி,"['கால்', 'ஆதரவு', 'தொலைபேசி']","['కాల్', 'మద్దతు', 'ఫోన్']","[('கால்', 'POSTP'), ('ஆதரவு', 'NOUN'), ('தொலைபேசி', 'NOUN')]","[('కాల్', 'NOUN'), ('మద్దతు', 'NOUN'), ('ఫోన్', 'NOUN')]","[('கால்', 'O'), ('ஆதரவு', 'O'), ('தொலைபேசி', 'O')]","[('కాల్', 'O'), ('మద్దతు', 'O'), ('ఫోన్', 'O')]"
దయచేసి ఎంచుకోండి హౌస్,அப்பாவி தயவு செய்து தேர்வு கோப்பை,"['அப்பாவி', 'தயவு', 'செய்து', 'தேர்வு', 'கோப்பை']","['దయచేసి', 'ఎంచుకోండి', 'హౌస్']","[('அப்பாவி', 'NOUN'), ('தயவு', 'NOUN'), ('செய்து', 'NOUN'), ('தேர்வு', 'NOUN'), ('கோப்பை', 'NOUN')]","[('దయచేసి', 'NOUN'), ('ఎంచుకోండి', 'NOUN'), ('హౌస్', 'NOUN')]","[('அப்பாவி', 'O'), ('தயவு', 'O'), ('செய்து', 'O'), ('தேர்வு', 'O'), ('கோப்பை', 'O')]","[('దయచేసి', 'O'), ('ఎంచుకోండి', 'O'), ('హౌస్', 'O')]"
మేము ప్రపంచ  నుంచి పొందాయి సహాయం,நாம் உலக  இருந்து வளர்ந்து உதவ,"['நாம்', 'உலக', 'இருந்து', 'வளர்ந்து', 'உதவ']","['మేము', 'ప్రపంచ', 'నుంచి', 'పొందాయి', 'సహాయం']","[('நாம்', 'NOUN'), ('உலக', 'NOUN'), ('இருந்து', 'NOUN'), ('வளர்ந்து', 'NOUN'), ('உதவ', 'NOUN')]","[('మేము', 'NOUN'), ('ప్రపంచ', 'NOUN'), ('నుంచి', 'NOUN'), ('పొందాయి', 'NOUN'), ('సహాయం', 'VERB')]","[('நாம்', 'O'), ('உலக', 'O'), ('இருந்து', 'O'), ('வளர்ந்து', 'O'), ('உதவ', 'O')]","[('మేము', 'O'), ('ప్రపంచ', 'O'), ('నుంచి', 'O'), ('పొందాయి', 'O'), ('సహాయం', 'O')]"
ది మొదటి సమస్య   ఖర్చు,தி முதல் சிக்கல்   செலவாகும்,"['தி', 'முதல்', 'சிக்கல்', 'செலவாகும்']","['ది', 'మొదటి', 'సమస్య', 'ఖర్చు']","[('தி', 'NOUN'), ('முதல்', 'POSTP'), ('சிக்கல்', 'POSTP'), ('செலவாகும்', 'NOUN')]","[('ది', 'NOUN'), ('మొదటి', 'NOUN'), ('సమస్య', 'NOUN'), ('ఖర్చు', 'NOUN')]","[('தி', 'O'), ('முதல்', 'O'), ('சிக்கல்', 'O'), ('செலவாகும்', 'O')]","[('ది', 'O'), ('మొదటి', 'O'), ('సమస్య', 'O'), ('ఖర్చు', 'O')]"
ఎవరు మేము ఉంటాయి,நாம் யார்,"['நாம்', 'யார்']","['ఎవరు', 'మేము', 'ఉంటాయి']","[('நாம்', 'NOUN'), ('யார்', 'NOUN')]","[('ఎవరు', 'NOUN'), ('మేము', 'NOUN'), ('ఉంటాయి', 'NOUN')]","[('நாம்', 'O'), ('யார்', 'O')]","[('ఎవరు', 'O'), ('మేము', 'O'), ('ఉంటాయి', 'O')]"
ఫోన్,தொலைபேசி,['தொலைபேசி'],['ఫోన్'],"[('தொலைபேசி', 'NOUN')]","[('ఫోన్', 'NOUN')]","[('தொலைபேசி', 'O')]","[('ఫోన్', 'O')]"
జాగ్రత్తగా ఉండండి అది తప్పక చదవండి,கவனமாக இருங்கள் அது படிக்க வேண்டும்,"['கவனமாக', 'இருங்கள்', 'அது', 'படிக்க', 'வேண்டும்']","['జాగ్రత్తగా', 'ఉండండి', 'అది', 'తప్పక', 'చదవండి']","[('கவனமாக', 'NOUN'), ('இருங்கள்', 'NOUN'), ('அது', 'NOUN'), ('படிக்க', 'NOUN'), ('வேண்டும்', 'NOUN')]","[('జాగ్రత్తగా', 'NOUN'), ('ఉండండి', 'NOUN'), ('అది', 'NOUN'), ('తప్పక', 'NOUN'), ('చదవండి', 'NOUN')]","[('கவனமாக', 'O'), ('இருங்கள்', 'O'), ('அது', 'O'), ('படிக்க', 'O'), ('வேண்டும்', 'O')]","[('జాగ్రత్తగా', 'O'), ('ఉండండి', 'O'), ('అది', 'O'), ('తప్పక', 'O'), ('చదవండి', 'O')]"
రోమన్,ரோமன்,['ரோமன்'],['రోమన్'],"[('ரோமன்', 'NOUN')]","[('రోమన్', 'NOUN')]","[('ரோமன்', 'O')]","[('రోమన్', 'O')]"
అది పని చేసింది,அது வேலை செய்யவில்லை,"['அது', 'வேலை', 'செய்யவில்லை']","['అది', 'పని', 'చేసింది']","[('அது', 'NOUN'), ('வேலை', 'NOUN'), ('செய்யவில்லை', 'NOUN')]","[('అది', 'NOUN'), ('పని', 'NOUN'), ('చేసింది', 'NOUN')]","[('அது', 'O'), ('வேலை', 'O'), ('செய்யவில்லை', 'O')]","[('అది', 'O'), ('పని', 'O'), ('చేసింది', 'O')]"
కాల్ మద్దతు,கால் ஆதரவு,"['கால்', 'ஆதரவு']","['కాల్', 'మద్దతు']","[('கால்', 'POSTP'), ('ஆதரவு', 'NOUN')]","[('కాల్', 'NOUN'), ('మద్దతు', 'NOUN')]","[('கால்', 'O'), ('ஆதரவு', 'O')]","[('కాల్', 'O'), ('మద్దతు', 'O')]"
మీరు అది జరగలేదు అని చెబుతాను,நீங்கள் அது நடக்காது என்று சொல்லலாம்,"['நீங்கள்', 'அது', 'நடக்காது', 'என்று', 'சொல்லலாம்']","['మీరు', 'అది', 'జరగలేదు', 'అని', 'చెబుతాను']","[('நீங்கள்', 'NOUN'), ('அது', 'NOUN'), ('நடக்காது', 'NOUN'), ('என்று', 'NOUN'), ('சொல்லலாம்', 'NOUN')]","[('మీరు', 'NOUN'), ('అది', 'NOUN'), ('జరగలేదు', 'NOUN'), ('అని', 'NOUN'), ('చెబుతాను', 'NOUN')]","[('நீங்கள்', 'O'), ('அது', 'O'), ('நடக்காது', 'O'), ('என்று', 'O'), ('சொல்லலாம்', 'O')]","[('మీరు', 'O'), ('అది', 'O'), ('జరగలేదు', 'O'), ('అని', 'O'), ('చెబుతాను', 'O')]"
తెలుగు,தமிழ்,['தமிழ்'],['తెలుగు'],"[('தமிழ்', 'NOUN')]","[('తెలుగు', 'NOUN')]","[('தமிழ்', 'O')]","[('తెలుగు', 'O')]"
ఫోన్,தொலைபேசி,['தொலைபேசி'],['ఫోన్'],"[('தொலைபேசி', 'NOUN')]","[('ఫోన్', 'NOUN')]","[('தொலைபேசி', 'O')]","[('ఫోన్', 'O')]"
ఉద్యోగులు నేర్పండి “ఎందుకు” మరియు కేవలం ఎలా”,ஊழியர் கற்பிக்கிறது “ஏன்” மற்றும் மட்டும் எப்படி”,"['ஊழியர்', 'கற்பிக்கிறது', '“ஏன்”', 'மற்றும்', 'மட்டும்', 'எப்படி”']","['ఉద్యోగులు', 'నేర్పండి', '“ఎందుకు”', 'మరియు', 'కేవలం', 'ఎలా”']","[('ஊழியர்', 'NOUN'), ('கற்பிக்கிறது', 'NOUN'), ('“ஏன்”', 'NOUN'), ('மற்றும்', 'NOUN'), ('மட்டும்', 'NOUN'), ('எப்படி”', 'NOUN')]","[('ఉద్యోగులు', 'NOUN'), ('నేర్పండి', 'NOUN'), ('“ఎందుకు”', 'NOUN'), ('మరియు', 'NOUN'), ('కేవలం', 'VERB'), ('ఎలా”', 'NOUN')]","[('ஊழியர்', 'O'), ('கற்பிக்கிறது', 'O'), ('“ஏன்”', 'O'), ('மற்றும்', 'O'), ('மட்டும்', 'O'), ('எப்படி”', 'O')]","[('ఉద్యోగులు', 'O'), ('నేర్పండి', 'O'), ('“ఎందుకు”', 'O'), ('మరియు', 'O'), ('కేవలం', 'O'), ('ఎలా”', 'O')]"
ఫోన్,தொலைபேசி,['தொலைபேசி'],['ఫోన్'],"[('தொலைபேசி', 'NOUN')]","[('ఫోన్', 'NOUN')]","[('தொலைபேசி', 'O')]","[('ఫోన్', 'O')]"
టెలిఫోన్,தொலைபேசி,['தொலைபேசி'],['టెలిఫోన్'],"[('தொலைபேசி', 'NOUN')]","[('టెలిఫోన్', 'NOUN')]","[('தொலைபேசி', 'O')]","[('టెలిఫోన్', 'O')]"
ఫోన్,தொலைபேசி,['தொலைபேசி'],['ఫోన్'],"[('தொலைபேசி', 'NOUN')]","[('ఫోన్', 'NOUN')]","[('தொலைபேசி', 'O')]","[('ఫోన్', 'O')]"
మేము మీకు ఎలా సహాయపడతామో చూడండి,உங்களுக்கு உதவ முடியும் என்பதைக் காண்க,"['உங்களுக்கு', 'உதவ', 'முடியும்', 'என்பதைக்', 'காண்க']","['మేము', 'మీకు', 'ఎలా', 'సహాయపడతామో', 'చూడండి']","[('உங்களுக்கு', 'NOUN'), ('உதவ', 'NOUN'), ('முடியும்', 'NOUN'), ('என்பதைக்', 'NOUN'), ('காண்க', 'NOUN')]","[('మేము', 'NOUN'), ('మీకు', 'NOUN'), ('ఎలా', 'NOUN'), ('సహాయపడతామో', 'NOUN'), ('చూడండి', 'NOUN')]","[('உங்களுக்கு', 'O'), ('உதவ', 'O'), ('முடியும்', 'O'), ('என்பதைக்', 'O'), ('காண்க', 'O')]","[('మేము', 'O'), ('మీకు', 'O'), ('ఎలా', 'O'), ('సహాయపడతామో', 'O'), ('చూడండి', 'O')]"
ఫ్యాక్స్,தொலைநகல்,['தொலைநகல்'],['ఫ్యాక్స్'],"[('தொலைநகல்', 'POSTP')]","[('ఫ్యాక్స్', 'NOUN')]","[('தொலைநகல்', 'O')]","[('ఫ్యాక్స్', 'O')]"
జూన్,ஜூன்,['ஜூன்'],['జూన్'],"[('ஜூன்', 'NOUN')]","[('జూన్', 'NOUN')]","[('ஜூன்', 'O')]","[('జూన్', 'O')]"
అంతర్జాతీయ,சர்வதேச,['சர்வதேச'],['అంతర్జాతీయ'],"[('சர்வதேச', 'NOUN')]","[('అంతర్జాతీయ', 'NOUN')]","[('சர்வதேச', 'O')]","[('అంతర్జాతీయ', 'O')]"
ఫోన్,தொலைபேசி,['தொலைபேசி'],['ఫోన్'],"[('தொலைபேசி', 'NOUN')]","[('ఫోన్', 'NOUN')]","[('தொலைபேசி', 'O')]","[('ఫోన్', 'O')]"
ఫోన్,தொலைபேசி,['தொலைபேசி'],['ఫోన్'],"[('தொலைபேசி', 'NOUN')]","[('ఫోన్', 'NOUN')]","[('தொலைபேசி', 'O')]","[('ఫోన్', 'O')]"
మేము మీ నుండి వినడానికి ఇష్టపడతాము,உங்களிடமிருந்து கேட்க நாங்கள் விரும்புகிறோம்,"['உங்களிடமிருந்து', 'கேட்க', 'நாங்கள்', 'விரும்புகிறோம்']","['మేము', 'మీ', 'నుండి', 'వినడానికి', 'ఇష్టపడతాము']","[('உங்களிடமிருந்து', 'NOUN'), ('கேட்க', 'NOUN'), ('நாங்கள்', 'NOUN'), ('விரும்புகிறோம்', 'NOUN')]","[('మేము', 'NOUN'), ('మీ', 'NOUN'), ('నుండి', 'NOUN'), ('వినడానికి', 'POSTP'), ('ఇష్టపడతాము', 'NOUN')]","[('உங்களிடமிருந்து', 'O'), ('கேட்க', 'O'), ('நாங்கள்', 'O'), ('விரும்புகிறோம்', 'O')]","[('మేము', 'O'), ('మీ', 'O'), ('నుండి', 'O'), ('వినడానికి', 'O'), ('ఇష్టపడతాము', 'O')]"
ఇది ఎలా పని చేస్తుంది,இது எப்படி வேலை செய்கிறது,"['இது', 'எப்படி', 'வேலை', 'செய்கிறது']","['ఇది', 'ఎలా', 'పని', 'చేస్తుంది']","[('இது', 'NOUN'), ('எப்படி', 'NOUN'), ('வேலை', 'NOUN'), ('செய்கிறது', 'NOUN')]","[('ఇది', 'NOUN'), ('ఎలా', 'NOUN'), ('పని', 'NOUN'), ('చేస్తుంది', 'NOUN')]","[('இது', 'O'), ('எப்படி', 'O'), ('வேலை', 'O'), ('செய்கிறது', 'O')]","[('ఇది', 'O'), ('ఎలా', 'O'), ('పని', 'O'), ('చేస్తుంది', 'O')]"
భారత్,இந்தியா,['இந்தியா'],['భారత్'],"[('இந்தியா', 'NOUN')]","[('భారత్', 'NOUN')]","[('இந்தியா', 'O')]","[('భారత్', 'O')]"
మిస్లాండోడ్   లు   కర్ల్ ఫ్లాట్ వెంట్రుష్ ఎక్స్టెన్షన్,மிஸ்லாடோட்  பிசிக்கள்   கர்ல் ஃப்ளாட் கண்ணிஷ் நீட்டிப்பு,"['மிஸ்லாடோட்', 'பிசிக்கள்', 'கர்ல்', 'ஃப்ளாட்', 'கண்ணிஷ்', 'நீட்டிப்பு']","['మిస్లాండోడ్', 'లు', 'కర్ల్', 'ఫ్లాట్', 'వెంట్రుష్', 'ఎక్స్టెన్షన్']","[('மிஸ்லாடோட்', 'NOUN'), ('பிசிக்கள்', 'NOUN'), ('கர்ல்', 'POSTP'), ('ஃப்ளாட்', 'NOUN'), ('கண்ணிஷ்', 'NOUN'), ('நீட்டிப்பு', 'NOUN')]","[('మిస్లాండోడ్', 'NOUN'), ('లు', 'NOUN'), ('కర్ల్', 'NOUN'), ('ఫ్లాట్', 'NOUN'), ('వెంట్రుష్', 'NOUN'), ('ఎక్స్టెన్షన్', 'NOUN')]","[('மிஸ்லாடோட்', 'O'), ('பிசிக்கள்', 'O'), ('கர்ல்', 'O'), ('ஃப்ளாட்', 'O'), ('கண்ணிஷ்', 'O'), ('நீட்டிப்பு', 'O')]","[('మిస్లాండోడ్', 'O'), ('లు', 'O'), ('కర్ల్', 'O'), ('ఫ్లాట్', 'O'), ('వెంట్రుష్', 'O'), ('ఎక్స్టెన్షన్', 'O')]"
అవును నాకు ఇప్పటికే ఉంది,ஆம் எனக்கு ஏற்கனவே உள்ளது,"['ஆம்', 'எனக்கு', 'ஏற்கனவே', 'உள்ளது']","['అవును', 'నాకు', 'ఇప్పటికే', 'ఉంది']","[('ஆம்', 'NOUN'), ('எனக்கு', 'NOUN'), ('ஏற்கனவே', 'NOUN'), ('உள்ளது', 'NOUN')]","[('అవును', 'NOUN'), ('నాకు', 'NOUN'), ('ఇప్పటికే', 'NOUN'), ('ఉంది', 'NOUN')]","[('ஆம்', 'O'), ('எனக்கு', 'O'), ('ஏற்கனவே', 'O'), ('உள்ளது', 'O')]","[('అవును', 'O'), ('నాకు', 'O'), ('ఇప్పటికే', 'O'), ('ఉంది', 'O')]"
ఓపెన్,திறந்தது,['திறந்தது'],['ఓపెన్'],"[('திறந்தது', 'NOUN')]","[('ఓపెన్', 'NOUN')]","[('திறந்தது', 'O')]","[('ఓపెన్', 'O')]"
మీరు నాతో ఉన్నారా,நீங்கள் என்னுடன் இருக்கிறீர்களா,"['நீங்கள்', 'என்னுடன்', 'இருக்கிறீர்களா']","['మీరు', 'నాతో', 'ఉన్నారా']","[('நீங்கள்', 'NOUN'), ('என்னுடன்', 'NOUN'), ('இருக்கிறீர்களா', 'NOUN')]","[('మీరు', 'NOUN'), ('నాతో', 'NOUN'), ('ఉన్నారా', 'NOUN')]","[('நீங்கள்', 'O'), ('என்னுடன்', 'O'), ('இருக்கிறீர்களா', 'O')]","[('మీరు', 'O'), ('నాతో', 'O'), ('ఉన్నారా', 'O')]"
టికెట్లు   వద్ద ప్రారంభించండి,டிக்கெட் தொடக்கம்,"['டிக்கெட்', 'தொடக்கம்']","['టికెట్లు', 'వద్ద', 'ప్రారంభించండి']","[('டிக்கெட்', 'NOUN'), ('தொடக்கம்', 'NOUN')]","[('టికెట్లు', 'NOUN'), ('వద్ద', 'NOUN'), ('ప్రారంభించండి', 'NOUN')]","[('டிக்கெட்', 'O'), ('தொடக்கம்', 'O')]","[('టికెట్లు', 'O'), ('వద్ద', 'O'), ('ప్రారంభించండి', 'O')]"
మీరు ప్రారంభించడానికి అవసరమైన ప్రతిదీ,நீங்கள் தொடங்க வேண்டிய அனைத்தும்,"['நீங்கள்', 'தொடங்க', 'வேண்டிய', 'அனைத்தும்']","['మీరు', 'ప్రారంభించడానికి', 'అవసరమైన', 'ప్రతిదీ']","[('நீங்கள்', 'NOUN'), ('தொடங்க', 'NOUN'), ('வேண்டிய', 'NOUN'), ('அனைத்தும்', 'NOUN')]","[('మీరు', 'NOUN'), ('ప్రారంభించడానికి', 'POSTP'), ('అవసరమైన', 'NOUN'), ('ప్రతిదీ', 'NOUN')]","[('நீங்கள்', 'O'), ('தொடங்க', 'O'), ('வேண்டிய', 'O'), ('அனைத்தும்', 'O')]","[('మీరు', 'O'), ('ప్రారంభించడానికి', 'O'), ('అవసరమైన', 'O'), ('ప్రతిదీ', 'O')]"
తర్వాత  పేజీ,அடுத்து  பக்கம்,"['அடுத்து', 'பக்கம்']","['తర్వాత', 'పేజీ']","[('அடுத்து', 'NOUN'), ('பக்கம்', 'NOUN')]","[('తర్వాత', 'NOUN'), ('పేజీ', 'NOUN')]","[('அடுத்து', 'O'), ('பக்கம்', 'O')]","[('తర్వాత', 'O'), ('పేజీ', 'O')]"
©  అన్ని హక్కులూ ప్రత్యేకించుకోవడమైనది సర్వస్వామ్య రక్షితం,©  அனைத்து உரிமைகளும் பாதுகாக்கப்பட்டவை,"['©', 'அனைத்து', 'உரிமைகளும்', 'பாதுகாக்கப்பட்டவை']","['©', 'అన్ని', 'హక్కులూ', 'ప్రత్యేకించుకోవడమైనది', 'సర్వస్వామ్య', 'రక్షితం']","[('©', 'NOUN'), ('அனைத்து', 'NOUN'), ('உரிமைகளும்', 'NOUN'), ('பாதுகாக்கப்பட்டவை', 'NOUN')]","[('©', 'NOUN'), ('అన్ని', 'NOUN'), ('హక్కులూ', 'NOUN'), ('ప్రత్యేకించుకోవడమైనది', 'NOUN'), ('సర్వస్వామ్య', 'NOUN'), ('రక్షితం', 'VERB')]","[('©', 'O'), ('அனைத்து', 'O'), ('உரிமைகளும்', 'O'), ('பாதுகாக்கப்பட்டவை', 'O')]","[('©', 'O'), ('అన్ని', 'O'), ('హక్కులూ', 'O'), ('ప్రత్యేకించుకోవడమైనది', 'O'), ('సర్వస్వామ్య', 'O'), ('రక్షితం', 'O')]"
ఫోన్,தொலைபேசி,['தொலைபேசி'],['ఫోన్'],"[('தொலைபேசி', 'NOUN')]","[('ఫోన్', 'NOUN')]","[('தொலைபேசி', 'O')]","[('ఫోన్', 'O')]"
