Telugu_Tokens,Tamil_Tokens
"['మీకు', 'ఏవైనా', 'ప్రశ్నలు', 'ఉంటే', 'మాకు', 'తెలియజేయండి']","['உங்களிடம்', 'ஏதேனும்', 'கேள்விகள்', 'இருந்தால்', 'எங்களுக்குத்', 'தெரியப்படுத்துங்கள்']"
['ఏప్రిల్'],['ஏப்ரல்']
"['మీ', 'ఆలోచనను', 'మార్చుకోండి']","['உங்கள்', 'எண்ணத்தை', 'மாற்றவும்']"
"['ఎందుకు', 'మీరు', 'మనిషి', 'తనకు', 'వేచి', 'ఉండాలి']","['ஏன்', 'மனிதன்', 'தன்னை', 'காத்திருக்க', 'வேண்டும்']"
"['మేము', 'మీరు', 'ఉత్తమ', 'అందించే', 'సిద్ధంగా', 'ఉన్నారు']","['நாங்கள்', 'உங்களுக்கு', 'சிறந்த', 'வழங்க', 'தயாராக', 'உள்ளன']"
"['కానీ', 'రెండు', 'సమస్యలు', 'ఉన్నాయి…']","['ஆனால்', 'இரண்டு', 'பெரிய', 'பிரச்சினைகள்', 'உள்ளன…']"
"['ఈ', 'రోజుకు', 'రేపు', 'మరియు', 'ఎల్లప్పుడూ']","['இன்றைக்கு', 'நாளை', 'மற்றும்', 'எப்போதும்']"
['ఫోన్'],['தொலைபேசி']
"['దాన్ని', 'ఇక్కడ', 'చూడగలరు']","['அதை', 'இங்கே', 'பார்க்கலாம்']"
"['ఇక్కడకు', 'రావటం', 'మీకిదే', 'మొదటిసారా']","['இது', 'உங்களுக்கு', 'முதல்', 'தடவையா']"
"['మీరు', 'ఈ', 'సంబంధించి', 'ఏ', 'సమస్య', 'లేదా', 'ప్రశ్నను', 'కలిగి', 'ఉంటే', 'వెబ్సైట్']","['நீங்கள்', 'இந்த', 'தொடர்பான', 'எந்த', 'பிரச்சினை', 'அல்லது', 'கேள்வி', 'இருந்தால்', 'இணையதளம்']"
"['మీ', 'ఇంటి', 'వద్ద', 'మీ', 'తలుపు', 'వద్ద']","['உங்கள்', 'வீட்டில்', 'உங்கள்', 'வீட்டில்']"
"['నేను', 'మార్చడానికి', 'కొన్ని', 'విషయాలు', 'వచ్చింది']","['நான்', 'மாற்ற', 'வேண்டிய', 'சில', 'விஷயங்கள்', 'கிடைத்தது']"
"['ఏమి', 'ఇప్పుడు']","['என்ன', 'இப்போது']"
"['డెలివరీ', 'సమయం', 'రోజుల']","['பணியாற்ற', 'மே']"
['టెల్'],['தொலைபேசி']
['ధన్యవాదాలు'],['நன்றி']
"['మే', 'సెప్టెంబర్']","['ஏப்', 'மே', 'ஜூன்', 'இன்று', 'ஆகஸ்ட்', 'செப்டம்பர்', 'அக்', 'நவ', 'டிசம்பர்', 'ஜனவரி', 'பிப்ரவரி', 'மார்ச்']"
['ధన్యవాదాలు'],['நன்றி']
['మే'],['மே']
['ఫోన్'],['தொலைபேசி']
"['హలో', 'మేము', 'తెరిచినవి']","['வணக்கம்', 'நாங்கள்', 'திறந்தோம்']"
"['ప్రశ్నలు', 'ఆందోళనలు', 'మరియు', 'వ్యాఖ్యలు', 'అన్ని', 'స్వాగతం', 'ఉంటాయి', 'మేము', 'మా', 'రీడర్లకు', 'నుండి', 'విన్న', 'ప్రేమ']","['கேள்விகள்', 'கவலைகள்', 'மற்றும்', 'கருத்துகள்', 'அனைத்து', 'வெல்கம்', 'நாங்கள்', 'எங்கள்', 'வாசகர்களிடம்', 'இருந்து', 'கேட்டு', 'நேசிக்கிறேன்']"
"['టూర్', 'కోడ్']","['டூர்', 'குறியீடு']"
['మే'],['மே']
"['అతను', 'నాకు', 'సేవ్', 'ఒకసారి', 'కంటే']","['அவர்', 'என்னை', 'சேமித்தவுடன்', 'விட']"
"['నన్ను', 'గుర్తు', 'పెట్టుకో']","['என்னை', 'ஞாபகம்', 'வைத்து', 'கொள்']"
"['మీరు', 'కేవలం', 'వెళ్ళి', 'వీలు', 'అవసరం', 'విషయాలు']","['நீங்கள்', 'செல்லலாம்', 'வேண்டும்', 'விஷயங்கள்']"
"['మీరు', 'నాకు', 'చూసిన']","['நீங்கள்', 'என்னை', 'சிரிப்பதற்கு', 'இணையாக', 'பார்த்த']"
['మే'],['மே']
"['మీ', 'భవిష్యత్తులో', 'ఎవరు', 'ఉన్నారు']","['உங்கள்', 'எதிர்காலத்தில்', 'யார்', 'இருக்கிறார்கள்']"
"['అన్ని', 'ధన్యవాదాలు', 'మీరు']","['நன்றி', 'அனைவருக்கும்', 'நீங்கள்', 'செய்ய']"
"['మమ్మల్ని', 'సంప్రదించండి']","['எங்களை', 'தொடர்பு', 'கொள்ளவும்']"
"['ఒక', 'అమ్మాయి', 'నాకు', 'చెప్పినప్పుడు', 'నేను', 'వచ్చానని', 'గ్రహించాను']","['ஒரு', 'பெண்', 'என்னிடம்', 'சொன்னபோது', 'நான்', 'வந்திருந்ததை', 'உணர்ந்தேன்']"
"['ఇది', 'చాలా', 'విచిత్రమైనది', 'నిజాయితీగా', 'ఈ', 'కారణం', 'కావచ్చు', 'ఏమి', 'ఖచ్చితంగా', 'తెలియదు']","['அது', 'மிகவும்', 'வித்தியாசமானது', 'நான்', 'இந்த', 'உண்மையை', 'என்ன', 'செய்ய', 'முடியும்', 'நிச்சயமாக', 'இல்லை']"
"['నేను', 'ఏ', 'ప్రశ్నలను', 'కలిగి', 'ఉంటే', 'నేను', 'ఎవరిని', 'సంప్రదించాలి']","['நான்', 'எந்த', 'கேள்விகளுக்கு', 'இருந்தால்', 'நான்', 'யாரிடம்', 'தொடர்பு', 'கொள்ள', 'வேண்டும்']"
"['మేము', 'మీకు', 'ఇష్టం']","['நாங்கள்', 'உன்னை', 'விரும்புகிறேன்']"
['ఏప్రిల్'],['ஏப்ரல்']
['మే'],['மே']
"['ఎందుకు', 'మీరు', 'ఎల్లప్పుడూ', 'నాకు', 'నియంత్రించడానికి', 'ప్రయత్నిస్తున్న']","['ஏன்', 'என்னை', 'கட்டுப்படுத்த', 'முயற்சி']"
"['మీరు', 'కూడా', 'ఇష్టపడవచ్చు']","['நீ', 'கூட', 'விரும்பலாம்']"
['టెల్'],['தொலைபேசி']
"['వివాహం', 'లేదు', 'వాగ్దానం']","['திருமணம்', 'செய்து', 'கொள்ள', 'சத்தியத்தை']"
"['ఓట్లు', 'సరాసరి', 'బయటకు']","['வாக்குகள்', 'சராசரி', 'வெளியே']"
"['ఆమె', 'అది', 'ఇష్టం', 'లేదు', 'అప్పుడు', 'ఎందుకు', 'ఆమె', 'మౌనంగా', 'ఉంది']","['அவளுக்கு', 'அது', 'பிடிக்கவில்லை', 'பிறகு', 'ஏன்', 'அவள்', 'மிகவும்', 'அமைதியாக', 'இருக்கிறது']"
['ఫోన్'],['தொலைபேசி']
"['రోజులు', 'మరియు', 'రోజులు']","['நாட்கள்', 'மற்றும்', 'நாட்கள்', 'ஆஃப்']"
"['మేము', 'ఏమి', 'చెయ్యగలరు']","['நம்மால்', 'என்ன', 'செய்ய', 'முடியும்']"
"['నేను', 'నిజంగా', 'మీరు', 'నాకు', 'సహాయం', 'చేయగలరు', 'ఒక', 'విషయం', 'కలిగి']","['நான்', 'உண்மையில்', 'நீங்கள்', 'எனக்கு', 'உதவ', 'முடியும்', 'ஒரு', 'விஷயம்']"
"['మా', 'కొత్త', 'వెబ్సైట్', 'కు', 'స్వాగతం']","['எங்கள்', 'புதிய', 'இணையதளம்', 'வரவேற்கிறோம்']"
['ఏప్రిల్'],['ஏப்ரல்']
"['ఎందుకు', 'ఈ', 'పేరు']","['ஏன்', 'இந்த', 'பெயர்']"
"['మీరు', 'నిజంగా', 'ముందుకు', 'తరలించడానికి', 'సిద్ధంగా', 'అనుభూతి']","['நீங்கள்', 'உண்மையிலேயே', 'முன்னோக்கி', 'நகர்த்த', 'தயாராக', 'இருக்கிறேன்']"
"['ఇప్పుడు', 'మాకు', 'కాల్']","['இப்போது', 'எங்களுக்கு', 'அழைப்பு']"
['ఫోన్'],['தொலைபேசி']
"['“ఈ', 'బంధువులందరూ', 'యుగం', 'యొక్క', 'అవతారం', 'యొక్క', 'ప్రతినిధులు', 'కాళి', 'త్యాగాలు', 'మతపరమైన', 'ఆచారాలు', 'వేదాల', 'జ్ఞానం', 'మరియు', 'దయను', 'నాశనం', 'చేసేవారు', 'ఎందుకంటే', 'వారు', 'వేద', 'మతం', 'యొక్క', 'అన్ని', 'సూత్రాలను', 'ఉల్లంఘించారు', 'అవి', 'మనస్సు', 'అనారోగ్యం', 'వృద్ధాప్యం', 'మత', 'సూత్రాలను', 'నాశనం', 'చేయడం', 'విచారం', 'విలపించడం', 'మరియు', 'భయం', 'కాశీ', 'యొక్క', 'ఈ', 'వారసులు', 'కాశీ', 'రాజ్యంలో', 'తిరుగుతూ', 'ప్రజలందరికీ', 'బాధ', 'కలిగిస్తారు', 'అలాంటి', 'వ్యక్తులు', 'సమయం', 'యొక్క', 'ప్రభావాలతో', 'మోసపోతారు', 'వారి', 'స్వభావంలో', 'చాలా', 'చంచలమైనవారు', 'తీవ్రమైన', 'కోరికలతో', 'నిండి', 'ఉంటారు', 'అపారమైన', 'పాపాత్మకమైనవారు', 'గర్వంగా', 'మరియు', 'క్రూరంగా', 'తమ', 'సొంత', 'తండ్రులకు', 'మరియు', 'తల్లులకు', 'కూడా', 'అలాగే', 'రెండుసార్లు', 'జన్మించినవారు', 'ఆధ్యాత్మికంగా', 'ప్రారంభించినవారు', 'మంచి', 'ప్రవర్తనను', 'కలిగి', 'ఉండరు', 'సరైన', 'సూత్రాలను', 'పాటించకుండా', 'మరియు', 'ఎల్లప్పుడూ', 'తక్కువ', 'తరగతుల', 'సేవలో', 'ఉంటారు', '”నాప్']","['வெற்று', 'வார்த்தைகள்', 'மற்றும்', 'மதங்கள்', 'போன்ற', 'இந்த', 'வீழ்ந்த', 'ஆத்மாக்கள்', 'அவர்களுக்கு', 'வாழ்வாதாரமாக', 'சேவை', 'செய்கின்றன', 'வேத', 'ஞானத்தின்', 'போதனைகள்', 'அவர்களின்', 'தொழில்', 'அவர்கள்', 'வாக்குறுதிகளை', 'நிறைவேற்றுவதில்', 'இருந்து', 'விழுந்துவிட்டு', 'மது', 'மற்றும்', 'இறைச்சி', 'உள்ளிட்ட', 'பிற', 'அருவருப்பான', 'பொருட்களை', 'விற்கிறார்கள்', 'அவர்கள்', 'இயற்கையால்', 'கொடூரமானவர்கள்', 'மற்றும்', 'அவர்களின்', 'வயிறு', 'மற்றும்', 'பாலினத்தை', 'திருப்திப்படுத்துவதில்', 'தீவிரமானவர்கள்', 'இந்த', 'காரணத்திற்காக', 'அவர்', 'பெண்களுக்காக', 'ஏங்குகிறார்', 'எப்போதும்', 'குடிப்பார்', '‟நேப்', 'எக்ஸ்என்யூஎம்எக்ஸ்']"
"['నేను', 'నిజంగా', 'మీకు', 'ఇష్టం']","['நான்', 'உன்னை', 'மிகவும்', 'விரும்புகிறேன்']"
"['మేము', 'ప్రారంభం', 'కావాలి']","['நாம்', 'தொடங்க', 'வேண்டும்']"
"['కానీ', 'కొన్ని', 'సాధ్యం', 'శుభవార్త', 'ఉంది']","['ஆனால்', 'சில', 'சாத்தியமான', 'நல்ல', 'செய்தி', 'உள்ளது']"
"['మీ', 'స్వంత', 'ఎక్స్పెవెన్టిన్', 'చేయండి']","['உங்கள்', 'சொந்த', 'ஐ', 'உருவாக்குங்கள்']"
"['బైబిలు', 'ఇలా', 'చెబుతోంది']","['பைபிள்', 'கூறுகிறது']"
['ఫోన్'],['தொலைபேசி']
"['ఇప్పుడే', 'మేము', 'మళ్ళీ', 'చేశాం']","['எங்களால்', 'முடிந்தது']"
"['జూలై', 'వద్ద', 'ఉదయం']","['ஜூலை', 'இல்', 'மீது']"
['ప్రేక్షకులు'],['பார்வையாளர்கள்']
"['ప్రారంభించడానికి', 'సిద్ధమా']","['தொடங்கத்', 'தயாரா']"
['ఫోన్'],['தொலைபேசி']
"['కానీ', 'ఆ', 'విధంగా', 'ఉండాలి', 'లేదు']","['ஆனால்', 'அது', 'வழி', 'இருக்க', 'வேண்டும்']"
"['మీరు', 'మరిన్ని', 'వివరాలను', 'చూడాలనుకుంటున్నారా']","['நீங்கள்', 'இன்னும்', 'விவரங்களைக்', 'காண', 'விரும்புகிறீர்களா']"
"['©', 'సర్వ', 'హక్కులు', 'సిడాక్', 'కు', 'రిజర్వు', 'చేయబడినవి']","['©', 'சி', 'டாக்', 'அனைத்து', 'உரிமைகளும்']"
['మే'],['மே']
['ఫోన్'],['தொலைபேசி']
"['ఇది', 'ఏమిటి']","['என்ன', 'அது']"
"['కాల్', 'మద్దతు', 'ఫోన్']","['கால்', 'ஆதரவு', 'தொலைபேசி']"
"['దయచేసి', 'ఎంచుకోండి', 'హౌస్']","['அப்பாவி', 'தயவு', 'செய்து', 'தேர்வு', 'கோப்பை']"
"['మేము', 'ప్రపంచ', 'నుంచి', 'పొందాయి', 'సహాయం']","['நாம்', 'உலக', 'இருந்து', 'வளர்ந்து', 'உதவ']"
"['ది', 'మొదటి', 'సమస్య', 'ఖర్చు']","['தி', 'முதல்', 'சிக்கல்', 'செலவாகும்']"
"['ఎవరు', 'మేము', 'ఉంటాయి']","['நாம்', 'யார்']"
['ఫోన్'],['தொலைபேசி']
"['జాగ్రత్తగా', 'ఉండండి', 'అది', 'తప్పక', 'చదవండి']","['கவனமாக', 'இருங்கள்', 'அது', 'படிக்க', 'வேண்டும்']"
['రోమన్'],['ரோமன்']
"['అది', 'పని', 'చేసింది']","['அது', 'வேலை', 'செய்யவில்லை']"
"['కాల్', 'మద్దతు']","['கால்', 'ஆதரவு']"
"['మీరు', 'అది', 'జరగలేదు', 'అని', 'చెబుతాను']","['நீங்கள்', 'அது', 'நடக்காது', 'என்று', 'சொல்லலாம்']"
['తెలుగు'],['தமிழ்']
['ఫోన్'],['தொலைபேசி']
"['ఉద్యోగులు', 'నేర్పండి', '“ఎందుకు”', 'మరియు', 'కేవలం', 'ఎలా”']","['ஊழியர்', 'கற்பிக்கிறது', '“ஏன்”', 'மற்றும்', 'மட்டும்', 'எப்படி”']"
['ఫోన్'],['தொலைபேசி']
['టెలిఫోన్'],['தொலைபேசி']
['ఫోన్'],['தொலைபேசி']
"['మేము', 'మీకు', 'ఎలా', 'సహాయపడతామో', 'చూడండి']","['உங்களுக்கு', 'உதவ', 'முடியும்', 'என்பதைக்', 'காண்க']"
['ఫ్యాక్స్'],['தொலைநகல்']
['జూన్'],['ஜூன்']
['అంతర్జాతీయ'],['சர்வதேச']
['ఫోన్'],['தொலைபேசி']
['ఫోన్'],['தொலைபேசி']
"['మేము', 'మీ', 'నుండి', 'వినడానికి', 'ఇష్టపడతాము']","['உங்களிடமிருந்து', 'கேட்க', 'நாங்கள்', 'விரும்புகிறோம்']"
"['ఇది', 'ఎలా', 'పని', 'చేస్తుంది']","['இது', 'எப்படி', 'வேலை', 'செய்கிறது']"
['భారత్'],['இந்தியா']
"['మిస్లాండోడ్', 'లు', 'కర్ల్', 'ఫ్లాట్', 'వెంట్రుష్', 'ఎక్స్టెన్షన్']","['மிஸ்லாடோட்', 'பிசிக்கள்', 'கர்ல்', 'ஃப்ளாட்', 'கண்ணிஷ்', 'நீட்டிப்பு']"
"['అవును', 'నాకు', 'ఇప్పటికే', 'ఉంది']","['ஆம்', 'எனக்கு', 'ஏற்கனவே', 'உள்ளது']"
['ఓపెన్'],['திறந்தது']
"['మీరు', 'నాతో', 'ఉన్నారా']","['நீங்கள்', 'என்னுடன்', 'இருக்கிறீர்களா']"
"['టికెట్లు', 'వద్ద', 'ప్రారంభించండి']","['டிக்கெட்', 'தொடக்கம்']"
"['మీరు', 'ప్రారంభించడానికి', 'అవసరమైన', 'ప్రతిదీ']","['நீங்கள்', 'தொடங்க', 'வேண்டிய', 'அனைத்தும்']"
"['తర్వాత', 'పేజీ']","['அடுத்து', 'பக்கம்']"
"['©', 'అన్ని', 'హక్కులూ', 'ప్రత్యేకించుకోవడమైనది', 'సర్వస్వామ్య', 'రక్షితం']","['©', 'அனைத்து', 'உரிமைகளும்', 'பாதுகாக்கப்பட்டவை']"
['ఫోన్'],['தொலைபேசி']
"['అందరికీ', 'అదృష్టం']","['அனைவருக்கும்', 'நல்ல', 'அதிர்ஷ்டம்']"
"['ఇప్పుడు', 'మాకు', 'కాల్']","['இப்போது', 'எங்களுக்கு', 'அழைப்பு']"
"['కాపీరైట్', 'హౌసింగ్', 'ఫైనాన్స్', 'లిమిటెడ్', 'అన్ని', 'హక్కులూ', 'ప్రత్యేకించబడినవి']","['பதிப்புரிமை', 'உள்ளடக்கப்பட்டுள்ளன', 'வீட்டு', 'வசதி', 'நிதி', 'லிமிடெட்', 'அனைத்து', 'உரிமைகளும்', 'பாதுகாக்கப்பட்டவை']"
"['ఈ', 'ఖచ్చితంగా', 'నేను', 'కోరుకున్న', 'విధంగా', 'కాదు', 'కానీ', 'ఇప్పుడు', 'కోసం', 'అది', 'ఉండాలి']","['இந்த', 'நிச்சயமாக', 'நான்', 'அதை', 'விரும்பவில்லை', 'வழி', 'அல்ல', 'ஆனால்', 'இப்போது', 'அது', 'இருக்க', 'வேண்டும்']"
['ఫిబ్రవరి'],['மே']
"['నేను', 'సంవత్సరాల', 'వయస్సు', 'కలిగి', 'ఉన్నానని']","['எனக்கு', 'வயது']"
"['చివరి', 'మార్పు', 'చేసినది']","['கடைசி', 'மாற்றம்', 'செய்யப்பட்டது']"
"['ఇప్పుడు', 'మాకు', 'కాల్']","['இப்போது', 'எங்களுக்கு', 'அழைப்பு']"
['మే'],['மே']
"['ఇక్కడ', 'టాటూలను', 'శోధించండి']","['இங்கே', 'பச்சை', 'குத்தல்கள்']"
"['మరింత', 'సమాచారం', 'కోసం', 'దయచేసి', 'తనిఖీ', 'చేయండి']","['மேலும்', 'தகவலுக்கு', 'தயவுசெய்து', 'சரிபார்க்கவும்']"
"['పేజీ', 'యొక్క', 'తదుపరి', 'చివరి']","['பக்கம்', 'என்ற', 'அடுத்த', 'கடந்த']"
"['ఇప్పుడు', 'మాకు', 'కాల్']","['இப்போது', 'எங்களுக்கு', 'அழைப்பு']"
"['నేను', 'ఎంత', 'వేగంగా', 'డబ్బు', 'పొందగలను']","['நான்', 'எவ்வளவு', 'விரைவாக', 'பணம்', 'பெற', 'முடியும்']"
"['మనం', 'ఎవరము']","['நாங்கள்', 'யார்']"
"['ప్రజలు', 'ఏమి', 'కాదు']","['மக்கள்', 'செய்ய', 'முடியாது']"
['మే'],['மே']
"['నేను', 'ఎలా', 'మొదలుపెట్టగలను']","['நான்', 'எப்படி', 'தொடங்குவது']"
"['మీ', 'ఆసక్తికి', 'ధన్యవాదములు']","['ஆர்வம்', 'காட்டியதற்கு', 'நன்றி']"
['మే'],['மே']
"['ఇది', 'రెండు', 'సందర్భాలలో', 'జరగవచ్చు']","['இது', 'இரண்டு', 'நிகழ்வுகளில்', 'நடக்கும்']"
"['మిస్లాండోడ్', 'లు', 'కర్ల్', 'ఫ్లాట్', 'వెంట్రుష్', 'ఎక్స్టెన్షన్']","['மிஸ்லாடோட்', 'பிசிக்கள்', 'கர்ல்', 'ஃப்ளாட்', 'கண்ணிஷ்', 'நீட்டிப்பு']"
"['నేను', 'ఇక్కడ', 'ఎలా', 'వచ్చాం']","['நான்', 'எப்படி', 'இங்கே', 'வந்தது']"
"['మిస్లాండోడ్', 'లు', 'కర్ల్', 'ఫ్లాట్', 'వెంట్రుష్', 'ఎక్స్టెన్షన్']","['மிஸ்லாடோட்', 'பிசிக்கள்', 'கர்ல்', 'ஃப்ளாட்', 'கண்ணிஷ்', 'நீட்டிப்பு']"
"['మాతో', 'మీరు', 'పని', 'అనుకుంటున్నారా', 'నేటి', 'న', 'మాకు', 'సంప్రదించండి']","['நீங்கள்', 'எங்களுக்கு', 'வேலை', 'செய்ய', 'விரும்புகிறீர்களா', 'இன்று', 'இல்', 'எங்களை', 'தொடர்பு']"
"['తర్వాత', 'పేజీ']","['அடுத்து', 'பக்கம்']"
"['ముందుగానే', 'చెల్లింపు']","['முன்கூட்டியே', 'கட்டணம்']"
"['మీ', 'సమాచారం', 'మాతో', 'సురక్షితం', 'మరియు', 'ఎవరితోనూ', 'భాగస్వామ్యం', 'చేయబడదు']","['உங்கள்', 'தகவல்', 'எங்களுடன்', 'பாதுகாப்பானது', 'மற்றும்', 'யாருடனும்', 'பகிரப்படாது']"
['ఫోన్'],['தொலைபேசி']
"['కోడ్\u200cలను', 'ఎక్కడ', 'నమోదు', 'చేయాలి']","['குறியீடுகளை', 'எங்கு', 'உள்ளிட', 'வேண்டும்']"
"['మేము', 'ఈ', 'సంవత్సరం', 'ఇస్తున్నది', 'ఏమిటి']","['நாம்', 'இந்த', 'ஆண்டு', 'வழங்குவது', 'என்ன']"
"['చదివిన', 'ఇతరుల', 'ఏమిటి']","['என்ன', 'படித்து', 'மற்ற', 'மக்கள்']"
['స్పెసిఫికేషన్'],['விவரக்குறிப்பு']
['ఫోన్'],['தொலைபேசி']
['ప్రేక్షకులు'],['பார்வையாளர்கள்']
"['నేను', 'కొన్ని', 'నమూనాలను', 'పొందవచ్చు']","['நான்', 'சில', 'மாதிரிகள்', 'பெற', 'முடியுமா']"
"['ä', 'స్వాగతం']","['இலவச', 'சேர்க்கை', 'வரவேற்கிறோம்']"
"['మిస్లాండోడ్', 'లు', 'కర్ల్', 'ప్రీఫిన్డ్', 'వాల్యూమ్', 'వెంట్రుష్']","['பிசிக்கள்', 'கர்ல்', 'முன்வார்ன்ட்', 'வால்யூம்', 'லீலாஷ்']"
"['ఇది', 'మీరు', 'అనుకోవచ్చు', 'కంటే', 'తక్కువ', 'ఖర్చవుతుంది']","['நீங்கள்', 'நினைக்கலாம்', 'விட', 'குறைவாக', 'செலவாகும்']"
"['మేము', 'ప్రపంచ', 'నుంచి', 'పెరుగుతున్న', 'సహాయం']","['நாம்', 'உலக', 'இருந்து', 'வளர்ந்து', 'உதவ']"
"['ఏమి', 'చెబుతున్నారు']","['நீ', 'என்ன', 'சொல்கிறாய்']"
"['మిస్లాండోడ్', 'లు', 'ప్రీఫిన్డ్', 'వాల్యూమ్', 'వెంట్రుష్']","['மிஸ்லாடோட்', 'பிசிக்கள்', 'மிமீ', 'முன்வார்ன்ட்', 'வால்யூம்', 'லீலாஷ்']"
"['మరియు', 'మీరు', 'తో', 'ఎల్లప్పుడూ']","['நீங்கள்', 'கவாஸ்', 'இருக்கிறது']"
"['ప్రజలు', 'ఏమి', 'చెప్పాలి']","['மக்கள்', 'என்ன', 'சொல்கிறார்கள்']"
"['మీరు', 'ఒక', 'మంచి', 'ఆలోచన', 'ఉందా', 'పెద్ద', 'మరియు', 'చిన్న']","['நீங்கள்', 'ஒரு', 'நல்ல', 'யோசனை', 'உங்களிடம்', 'இருக்கிறதா', 'பெரிய', 'மற்றும்', 'சிறிய']"
"['ఒక', 'కు', 'పంపబడింది']","['ஒரு', 'க்கு', 'அனுப்பப்பட்டது']"
['ఫోన్'],['தொலைபேசி']
"['మీరు', 'ఏవైనా', 'ప్రశ్నలు', 'ఉంటే', 'నాకు', 'తెలియజేయండి']","['நீங்கள்', 'ஏதேனும்', 'சந்தேகங்கள்', 'இருந்தால்', 'எனக்கு', 'தெரியப்படுத்துங்கள்']"
['పండులో'],['ஜேன்']
['ఫ్యాక్స్'],['தொலைநகல்']
"['నేను', 'ఈ', 'వంటి', 'వేదన', 'ఉండాలా', 'లేదా', 'అది', 'నిజంగా', 'చెడు', 'ఉంది']","['நான்', 'இந்த', 'மாதிரி', 'புலம்பு', 'வேண்டும்', 'அல்லது', 'அது', 'நன்றாக', 'இருந்தது']"
['సంవత్సరము'],['ஆண்டு']
"['మా', 'ఏజెంట్', 'ఉండాలనుకుంటున్నారా', 'కమ్', 'మాకు', 'చేరండి']","['எங்கள்', 'முகவர்', 'இருக்க', 'வேண்டும்', 'வா', 'எங்களுக்கு', 'சேருங்கள்']"
"['కంటే', 'ఎక్కువ', 'ఉద్యోగులు']","['க்கும்', 'மேற்பட்ட', 'ஊழியர்கள்']"
"['మేము', 'ప్రపంచ', 'నుంచి', 'పొందాయి', 'సహాయం']","['நாம்', 'உலக', 'இருந்து', 'வளர்ந்து', 'உதவ']"
['ఫోన్'],['தொலைபேசி']
"['మిస్లాండోడ్', 'లు', 'కర్ల్', 'ఫ్లాట్', 'వెంట్రుష్', 'ఎక్స్టెన్షన్']","['மிஸ்லாடோட்', 'பிசிக்கள்', 'கர்ல்', 'ஃப்ளாட்', 'கண்ணிஷ்', 'நீட்டிப்பு']"
['మే'],['மே']
"['మీ', 'రకమైన', 'శ్రద్ధతో', 'కోసం', 'మీరు', 'ధన్యవాదాలు']","['உங்கள்', 'வகையான', 'கவனத்தை', 'நன்றி']"
"['మేము', 'శాంతి', 'వస్తున్నారా']","['நாம்', 'சமாதானமாக', 'வருகிறோமா']"
['ప్రేక్షకులు'],['பார்வையாளர்கள்']
['టెల్'],['தொலைபேசி']
"['ధన్యవాదాలు', 'మంచి', 'పని', 'ఉంచడానికి']","['நன்றி', 'நல்ல', 'வேலை', 'வைத்திருக்கவும்']"
"['మరియు', 'మేము', 'మీరు', 'వంటి', 'స్థానిక', 'ప్రజలపై', 'కౌంట్']","['நாங்கள்', 'உங்களுக்கு', 'போன்ற', 'உள்ளூர்', 'மக்கள்', 'மீது', 'எண்ண']"
"['మేము', 'ఏం', 'చేస్తున్నారు']","['நாம்', 'என்ன', 'செய்து', 'கொண்டிருக்கின்றோம்']"
"['బాగా', 'చెప్పారు', 'ధన్యవాదాలు', 'సోదరుడు']","['சரி', 'கூறினார்', 'நன்றி', 'சகோதரன்']"
['ఫోన్'],['தொலைபேசி']
['టెల్'],['தொலைபேசி']
"['ఉపయోగించడానికి', 'చాలా', 'సులభం']","['பயன்படுத்த', 'மிகவும்', 'எளிதானது']"
"['మిస్లాండోడ్', 'వాల్యూమ్', 'వెంట్రుక', 'ఎక్స్టెన్షన్స్', 'కర్ల్']","['மிஸ்லாமாட்', 'பிசிக்கள்', 'தொகுதி', 'கண்ணிழி', 'நீட்டிப்புகள்', 'டி', 'சுருள்']"
"['మేము', 'ప్రపంచ', 'మారుతున్న', 'చేసిన']","['நாம்', 'உலகத்தை', 'மாற்றவே', 'வருகிறோம்']"
"['మేము', 'ప్రపంచ', 'నుంచి', 'పొందాయి', 'సహాయం']","['நாம்', 'உலக', 'இருந்து', 'வளர்ந்து', 'உதவ']"
"['నేను', 'ఏం', 'చేయాలి']","['நான்', 'என்ன', 'செய்ய', 'வேண்டும்']"
"['దయచేసి', 'వేచి', 'ఉండండి']",['காத்திருக்கவும்']
"['మీరు', 'నా', 'పని', 'ఇష్టం', 'ఉంటే', 'నాకు', 'మరింత', 'చేయాలని', 'ప్రోత్సహిస్తున్నారు', 'నాకు', 'ఒక', 'విరాళం', 'పంపడానికి', 'ధన్యవాదాలు']","['நீங்கள்', 'என்', 'வேலை', 'விரும்பினால்', 'தயவுசெய்து', 'மேலும்', 'செய்ய', 'என்னை', 'ஊக்குவிக்க', 'என்னை', 'ஒரு', 'நன்கொடை', 'அனுப்ப', 'நன்றி']"
"['వారిని', 'నవ్వుతూ', 'ఉండటానికి']","['அவர்களை', 'சிரிக்க', 'வைக்க']"
['కట్టింగ్'],['கட்டிங்']
"['ఇప్పటికీ', 'పోరాడుతున్నారా']","['இன்னும்', 'போராடி']"
"['ముగిసిన', 'సంవత్సరాల', 'క్రితం']","['காலாவதியானது', 'ஆண்டுகளுக்கு', 'முன்பு']"
"['నిన్న', 'నేడు', 'రేపు']","['நேற்று', 'இன்று', 'நாளை']"
['ఫోన్'],['தொலைபேசி']
['ధర'],['விலை']
"['కాల్', 'మద్దతు']","['கால்', 'ஆதரவு']"
['ఫోన్'],['தொலைபேசி']
